id	style	word	pronunciation
PWN:daughter.n.01		tütar
PWN:dawn.n.01		koidik
PWN:day.n.01		päev
PWN:death.n.01		surm
PWN:deceive.v.01		tüssama
PWN:decide.v.01		otsustama
PWN:decrease.v.01		vähenema
PWN:defend.v.03		kaitsma (turvama)
PWN:degree.n.01		tase
PWN:deity.n.01		jumal
PWN:deny.v.04		eitama
PWN:depository_financial_institution.n.01		pank
PWN:descend.v.01		laskuma
PWN:desert.n.01		kõrb
PWN:desire.v.01		tahtma (soovima)
PWN:destroy.v.02		hävitama
PWN:destroy.v.02		lammutama
PWN:devil.n.02		deemon
PWN:die.v.01		surema
PWN:different.a.01		erinev
PWN:difficult.a.01		keeruline
PWN:difficult.a.01		raske
PWN:diffident.a.02		häbelik
PWN:dinner.n.01		õhtueine
PWN:dinner.n.01		õhtusöök
PWN:dirt.n.02		muld
PWN:dirty.a.01		räpane
PWN:disappear.v.01		kaduma
PWN:disease.n.01		haigus (tõbi)
PWN:distance.n.01		vahe
PWN:distance.n.03		vahemaa
PWN:dive.v.03		sukelduma
PWN:divide.v.01		jagama
PWN:doctor.n.01		arst (doktor)
PWN:dog.n.01		koer
PWN:dream.n.01		unistus
PWN:drink.v.01		jooma
PWN:drive.v.01		sõitma
PWN:drown.v.03		uppuma
PWN:drum.n.01		trumm
PWN:dust.n.01		tolm
PWN:eagle.n.01		kotkas
PWN:earlier.r.01		enne
PWN:earthquake.n.01		maavärin
PWN:elbow.n.01		küünarnukk
PWN:election.n.01		valimine
PWN:electricity.n.02		elekter
PWN:elementary.s.01		kerge
PWN:elephant.n.01		elevant
PWN:embrace.v.02		kallistama
PWN:emerge.v.01		ilmuma
PWN:enter.v.01		sisenema
PWN:evening.n.01		õhtu
PWN:exchange.v.01		vahetus
PWN:exclaim.v.01		karjuma
PWN:exit.v.01		lahkuma (jätma)
PWN:exit.v.01		väljuma
PWN:expensive.a.01		kallis
PWN:explain.v.01		seletama
PWN:eye.n.01		silm
PWN:eyebrow.n.01		kulm
PWN:fabric.n.01		kalts
PWN:faineant.s.01		laisk
PWN:fall.v.01		kukkuma
PWN:fast.r.01		kiire
PWN:fast.r.01		kiiresti
PWN:father.n.01		isa
PWN:father.n.01		issi
PWN:faulty.s.02		vale
PWN:feel.v.09		tundma
PWN:feeling.n.01		emotsioon
PWN:female_child.n.01		tüdruk
PWN:fence.n.01		aed
PWN:festival.n.01		pidu
PWN:fever.n.01		palavik
