CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	IDS_ID	ENGLISH	RELATION	PWN_WORD_SENSE_ID	PWN_DEFINITION	PWN_SYNSET	PWN_POS
1594	FLOUR	92	S05.550	the flour	ss	flour%1:13:00::	fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain	n07569106	n
380	WRINKLED	93	S15.890	wrinkled	ss	wrinkled%3:00:00::	"marked by wrinkles; ""tired travelers in wrinkled clothes"""	a01360413	a
205	TROUGH	94	S07.480	the trough	ss	trough%1:06:01::	a container (usually in a barn or stable) from which cattle or horses feed	n03717131	n
626	LAND	95	S01.210	the land	ss	land%1:17:00::	"the solid part of the earth's surface; ""the plane turned away from the sea and moved back over land""; ""the earth shook for several minutes""; ""he dropped the logs on the ground"""	n09334396	n
1161	THREAD	96	S06.380	the thread	ss	thread%1:06:00::	a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving	n04426788	n
161	MISS (A TARGET)	97	S20.630	to miss	ss	miss%2:35:00::	"fail to reach; ""The arrow missed the target"""	v01237901	v
1662	CAPE	98	S01.343	the cape	ss	cape%1:17:00::	a strip of land projecting into a body of water	n09233715	n
1352	KNIFE	99	S09.230	the knife(2)	ss	knife%1:06:00::	edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle	n03623556	n
261	ARCTIC LIGHTS	100	S01.7710	the arctic lights	ss	northern_lights%1:19:00::	the aurora of the northern hemisphere	n11427619	n
1256	HEAD	101	S04.200	the head	ss	head%1:08:00::	"the upper part of the human body or the front part of the body in animals; contains the face and brains; ""he stuck his head out the window"""	n05538625	n
1554	MAN	102	S02.210	the man	ss	man%1:18:00::	"an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"""	n10287213	n
778	SMOKE (EXHAUST)	103	S01.830	the smoke	ss	smoke%1:22:00::	"a hot vapor containing fine particles of carbon being produced by combustion; ""the fire produced a tower of black smoke that could be seen for miles"""	n13556893	n
3	BRAVE	104	S16.520	brave	ss	brave%3:00:00::	"possessing or displaying courage; able to face and deal with danger or fear without flinching; ""Familiarity with danger makes a brave man braver but less daring""- Herman Melville; ""a frank courageous heart...triumphed over pain""- William Wordsworth; ""set a courageous example by leading them safely into and out of enemy-held territory"""	a00262792	a
344	TREE TRUNK	105	S08.730	the tree trunk	ss	tree_trunk%1:20:00::	the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber	n13165815	n
1657	TRUE	106	S16.660	true	ss	true%3:00:00::	"consistent with fact or reality; not false; ""the story is true""; ""it is undesirable to believe a proposition when there is no ground whatever for supposing it true""- B. Russell; ""the true meaning of the statement"""	a02460502	a
1183	PALM OF HAND	107	S04.331	the palm of the hand	ss	palm%1:08:00::	the inner surface of the hand from the wrist to the base of the fingers	n05565696	n
1321	BOTTLE	108	S23.5600	the bottle	ss	bottle%1:06:00::	a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped	n02876657	n
1303	FINGER	109	S04.340	the finger	ss	finger%1:08:00::	"any of the terminal members of the hand (sometimes excepting the thumb); ""her fingers were long and thin"""	n05566504	n
144	MACHINE	110	S23.1900	the machine	ss	machine%1:06:00::	any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks	n03699975	n
1879	DANCE	111	S10.440	to dance	ss	dance%2:36:00::	"move in a pattern; usually to musical accompaniment; do or perform a dance; ""My husband and I like to dance at home to the radio"""	v01708676	v
1046	SHUT	112	S12.250	to shut	ss	shut%2:35:00::	"move so that an opening or passage is obstructed; make shut; ""Close the door""; ""shut the window"""	v01345109	v
1543	SNAIL	113	S03.940	the snail	ss	snail%1:05:00::	freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell	n01944390	n
920	GRAPE	114	S05.760	the grape	ss	grape%1:13:00::	any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters	n07758680	n
164	KANGAROO	115	S03.8800	the kangaroo	ss	kangaroo%1:05:00::	any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail	n01877134	n
1380	TOOTH	116	S04.270	the tooth	ss	tooth%1:08:00::	hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense	n05282746	n
1407	BREATHE	117	S04.510	to breathe	ss	breathe%2:29:00::	"draw air into, and expel out of, the lungs; ""I can breathe better when the air is clean""; ""The patient is respiring"""	v00001740	v
2009	DOG	118	S03.610	the dog	ss	dog%1:05:00::	"a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds; ""the dog barked all night"""	n02084071	n
175	BLOW (OF WIND)	119	S10.380	to blow	ss	blow%2:43:00::	"be blowing or storming; ""The wind blew from the West"""	v02769241	v
1725	CORRECT (RIGHT)	120	S16.730	right(2)	ui	right%4:02:02::	"in an accurate manner; ""the flower had been correctly depicted by his son""; ""he guessed right"""	r00203922	r
1387	ARRIVE	121	S10.550	to arrive	ss	arrive%2:38:00::	"reach a destination; arrive by movement or progress; ""She arrived home at 7 o'clock""; ""She didn't get to Chicago until after midnight"""	v02005948	v
984	WORK (LABOUR)	122	S09.120	the work	ss	work%1:04:00::	"activity directed toward making or doing something; ""she checked several points needing further work"""	n00575741	n
1766	FINISH	123	S14.270	to finish	ss	finish%2:30:02::	"come or bring to a finish or an end; ""He finished the dishes""; ""She completed the requirements for her Master's Degree""; ""The fastest runner finished the race in just over 2 hours; others finished in over 4 hours"""	v00484166	v
223	THRESHING-FLOOR	124	S08.350	the threshing-floor	ss	threshing_floor%1:06:00::	a floor or ground area for threshing or treading out grain	n04428382	n
670	ROOT	125	S08.540	the root	ss	root%1:20:00::	(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground	n13125117	n
286	NEEDLE TREE	126	S08.9930	the needle(2)	ss	needle%1:20:00::	the leaf of a conifer	n13157595	n
166	MAINLAND	127	S01.260	the mainland	ss	mainland%1:17:00::	the main land mass of a country or continent; as distinguished from an island or peninsula	n09346120	n
1188	CHARCOAL	128	S01.890	the charcoal	ss	charcoal%1:27:00::	a carbonaceous material obtained by heating wood or other organic matter in the absence of air	n14685296	n
1185	VULTURE	129	S03.586	the vulture	ss	old_world_vulture%1:05:00::	any of several large vultures of Africa and Eurasia	n01616764	n
1075	TRAP (PITFALL)	130	S20.640	the trap	ss	trap%1:06:00::	a device in which something (usually an animal) can be caught and penned	n04474466	n
678	BEARD	131	S04.142	the beard	ss	beard%1:08:00::	the hair growing on the lower part of a man's face	n05261566	n
1941	SOLDIER	132	S20.170	the soldier	ss	soldier%1:18:00::	"an enlisted man or woman who serves in an army; ""the soldiers stood at attention"""	n10622053	n
1247	EAR	133	S04.220	the ear	ss	ear%1:08:00::	the sense organ for hearing and equilibrium	n05320899	n
1950	BEECH	134	S08.620	the beech	ss	beech%1:20:00::	any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions	n12260799	n
281	POST	135	S07.560	the post or pole	ui	pole%1:06:00::	a long (usually round) rod of wood or metal or plastic	n03976657	n
1384	SECOND	136	S13.360	second	ss	second%5:00:00:ordinal:00	coming next after the first in position in space or time or degree or magnitude	a02202146	a
