id	style	word
PWN:brackish.s.02		brackig
PWN:braid.n.01		Zopf
PWN:braid.v.01		flechten
PWN:brain.n.01		Gehirn, Hirn
PWN:brainsick.s.01		verrückt
PWN:brake.v.02		bremsen
PWN:brave.a.01		tapfer, mutig, kühn
PWN:bread.n.01		Brot
PWN:break.v.05		zerbrechen
PWN:breakfast.n.01		Frühstück
PWN:breast.n.02		Brust
PWN:breathe.v.01		Atem
PWN:brick.n.01		Ziegel, Ziegelstein, Backstein
PWN:bridge.n.01		Brücke
PWN:bright.a.01		hell, glänzend
PWN:bring.v.01		bringen, holen
PWN:bring_around.v.02		heilen
PWN:broken.s.11		kaputt
PWN:broom.n.01		Besen
PWN:brother.n.01		Bruder
PWN:brow.n.01		Stirn
PWN:bruise.n.01		blauer Fleck, Bluterguss
PWN:brush.n.02		Bürste
PWN:bull.n.01		Stier oder Bulle
PWN:bumble.v.03		stottern, stammeln
PWN:bunch.n.01		Bund
PWN:burn.v.03		brennen
PWN:burn.v.07		verbrennen
PWN:bury.v.02		beerdigen, begraben, bestatten
PWN:bus.n.01		Bus
PWN:butter.n.01		Butter
PWN:butterfly.n.01		Schmetterling
PWN:buttocks.n.01		Hintern, Gesäß
PWN:button.n.01		Knopf
PWN:buy.v.01		kaufen
PWN:cadaver.n.01		Leiche, Leichnam
PWN:calendar.n.03		Kalender
PWN:calendar_month.n.01		Monat
PWN:calf.n.01		Kalb
PWN:calf.n.02		Wade
PWN:call.v.05		rufen
PWN:call_on_the_carpet.v.01		rügen, tadeln, ausschimpfen
PWN:calm.a.02		windstill
PWN:camel.n.01		Kamel
PWN:camp.n.03		Lager
PWN:can.n.01		Dose, Büchse
PWN:candle.n.01		Kerze
PWN:canoe.n.01		Kanu
PWN:cap.n.01		Hut; Mütze
PWN:cape.n.01		Kap
PWN:car.n.01		Auto
PWN:carcase.n.01		Kadaver
PWN:caribou.n.01		Rentier, Karibu
PWN:carpenter.n.01		Zimmermann
PWN:carve.v.01		aushauen, ausmeißeln
PWN:cassava.n.02		Maniok
PWN:cast.v.07		formen, bilden
PWN:cast.v.07		gießen
PWN:cat.n.01		Katze
PWN:catch.v.04		fangen
PWN:cattle.n.01		Rind
PWN:cause.n.01		Ursache, Grund
PWN:cave.n.01		Höhle
PWN:center.n.01		Mitte, Zentrum
PWN:certain.a.03		sicher, gewiss
PWN:cerumen.n.01		Ohrenschmalz
PWN:chain.n.03		Kette
PWN:chair.n.01		Stuhl
PWN:chameleon.n.03		Chamäleon
PWN:change.v.01		verändern, wechseln, vertauschen
PWN:charcoal.n.01		Holzkohle
PWN:cheap.a.01		billig
PWN:cheek.n.01		Wange
PWN:cheese.n.01		Käse
PWN:chew.v.01		kauen
PWN:chicken.n.02		Huhn
PWN:child.n.01		Kind
PWN:child.n.02		Kind (i.S.v. Nachkomme)
PWN:chili.n.02		Cayennepfeffer
PWN:chimney.n.01		Schornstein, Esse
PWN:chin.n.01		Kinn
PWN:chisel.n.01		Meißel
PWN:choke.v.04		zum Ersticken bringen
PWN:choose.v.01		wählen, auswählen
PWN:chop.v.01		hacken
PWN:church.n.02		Kirche
PWN:cigarette.n.01		Zigarette
PWN:circle.n.03		Kreis
PWN:circumcision.n.03		Beschneidung
PWN:citizen.n.01		Bürger; Untertan
PWN:citizenry.n.01		Bevölkerung, Volk
PWN:citrus.n.01		Zitrusfrucht
PWN:clavicle.n.01		Schlüsselbein
PWN:claw.n.01		Klaue, Kralle
PWN:clay.n.01		Ton, Lehm
PWN:clean.a.01		sauber, rein
PWN:clear.a.01		klar, deutlich
PWN:cleave.v.01		spalten
PWN:climb.v.01		klettern
PWN:cloak.n.02		Mantel, Umhang
PWN:clock.n.01		Uhr
PWN:close.v.01		schließen, zumachen
PWN:cloud.n.02		Wolke
PWN:club.n.03		Keule
PWN:coat.n.01		(Geh)Rock, Jacke, Mantel
PWN:cobbler.n.01		Schuhmacher, Schuster
PWN:cock.n.04		Hahn
PWN:cockroach.n.01		Kakerlak(e), Schabe
PWN:coconut.n.02		Kokosnuss
PWN:coffee.n.01		Kaffee
PWN:coin.n.01		Münze
PWN:cold.a.01		kalt
PWN:cold.n.01		Erkältung
PWN:collar.n.01		Kragen
PWN:color.n.01		Farbe
PWN:colt.n.01		Fohlen
PWN:comb.n.01		Kamm
PWN:commiseration.n.01		Erbarmen, Mitleid
PWN:common_eel.n.01		Flussaal
PWN:complete.v.01		beenden, vollenden
PWN:conceive.v.03		schwanger werden
PWN:cone.n.03		Zapfen
PWN:conserve.v.02		bewahren, erhalten
PWN:construct.v.01		bauen
PWN:contend.v.06		kämpfen
PWN:conventicle.n.02		Versammlungshaus
PWN:convict.v.01		überführen
PWN:cook.v.02		kochen
PWN:cooked.a.01		gekocht
PWN:cookhouse.n.02		Küche, Küchengebäude
PWN:copper.n.01		Kupfer
PWN:cormorant.n.01		Kormoran
PWN:corn.n.01		Mais
PWN:corner.n.03		Ecke, Winkel
PWN:cornet.n.01		Horn, Trompete
PWN:correctly.r.01		richtig
PWN:cotton.n.02		Baumwolle
PWN:cough.v.01		husten
PWN:count.v.01		zählen
PWN:country.n.02		Land
PWN:court.n.08		Gericht
PWN:court.n.10		Hof
PWN:cousin.n.01		Cousin oder Cousine
PWN:cover.v.01		bedecken
PWN:cow.n.01		Kuh
PWN:coyote.n.01		Koyote
PWN:crime.n.01		Verbrechen
PWN:crippled.s.01		lahm
PWN:crisscross.n.01		Kreuz
PWN:crooked.a.01		krumm
PWN:crow.n.01		Krähe
PWN:crowd.n.01		Menge
PWN:cry.v.02		weinen
PWN:cultivate.v.02		bebauen, beackern, kultivieren
PWN:cup.n.01		Tasse, Becher
PWN:curse.v.03		verfluchen, verwünschen
PWN:custom.n.01		Sitte, Brauch
PWN:cut.v.01		durchschneiden
PWN:damage.v.01		beschädigen
PWN:dance.v.02		tanzen
PWN:dandruff.n.02		Schuppen
PWN:danger.n.01		Gefahr
PWN:dare.v.02		wagen
PWN:dark.a.01		dunkel
PWN:dark.n.01		Dunkelheit oder Finsternis
PWN:daughter.n.01		Tochter
PWN:dawn.n.01		Morgendämmerung
PWN:day.n.01		Tag
PWN:day.n.05		Tag
PWN:dead.a.01		tot
PWN:deaf.a.01		taub
PWN:debt.n.02		Schuld(en)
PWN:deception.n.02		Betrug, List
PWN:decide.v.02		urteilen, richten
PWN:deep.a.03		tief
PWN:deer.n.01		Hirsch
PWN:defeat.n.01		Niederlage
PWN:defend.v.03		verteidigen
PWN:defendant.n.01		Beklagter, Angeklagter
PWN:deity.n.01		Gott
PWN:deny.v.04		abstreiten, leugnen
PWN:depository_financial_institution.n.01		Bank
PWN:descend.v.01		hinuntergehen
PWN:descendants.n.01		Nachkommen, Abkömmlinge, Nachfahren
PWN:desire.v.01		wünschen, begehren, verlangen
PWN:destroy.v.02		zerstören
PWN:devil.n.02		Dämon, Unhold
PWN:dew.n.01		Tau
PWN:die.v.01		sterben
PWN:difficult.a.01		schwierig, schwer
PWN:dig.v.01		graben
PWN:dinner.n.01		Hauptmahlzeit
PWN:diplopoda.n.01		Tausendfüßler
PWN:dirty.a.01		schmutzig
PWN:disappear.v.01		verschwinden
PWN:disease.n.01		Krankheit
PWN:dish.n.01		Schüssel
PWN:ditch.n.01		Graben
PWN:dive.v.03		tauchen
PWN:divide.v.01		teilen
PWN:divorce.n.01		(Ehe)Scheidung
PWN:doctor.n.01		Arzt
PWN:dog.n.01		Hund
PWN:dolphin.n.02		Delphin oder Schweinswal
PWN:domestic_ass.n.01		Esel
PWN:domestic_fowl.n.01		Geflügel
PWN:doorjamb.n.01		Pfosten
PWN:doubt.n.01		zweifeln
PWN:dough.n.01		Teig
PWN:dove.n.01		Taube
PWN:down.r.01		herunter, hinunter, herab, abwärts
PWN:draw.v.07		Wasser schöpfen
PWN:dream.v.02		träumen
PWN:dress.n.01		Kleid
PWN:drink.v.01		trinken
PWN:drip.v.01		tropfen
PWN:drive.v.01		treiben
PWN:drivel.v.01		sabbern
PWN:driver's_license.n.01		Führerschein, Fahrerlaubnis
PWN:drop.v.01		fallen lassen
PWN:drown.v.03		ertrunken
PWN:drum.n.01		Trommel
PWN:dry.a.01		trocken
PWN:duck.n.01		Ente
PWN:dumb.s.04		stumm
PWN:dust.n.01		Staub
PWN:dye.v.01		färben
PWN:eagle.n.01		Adler
PWN:ear.n.01		Ohr
PWN:earlier.r.01		vor
PWN:earlobe.n.01		Ohrläppchen
PWN:early.r.03		früh
PWN:earring.n.01		Ohrring
PWN:earthquake.n.01		Erdbeben
PWN:east.n.01		Osten
PWN:eat.v.01		essen
PWN:edge.n.06		Kante, Rand
PWN:egg.n.02		Ei
PWN:egg_yolk.n.01		Eigelb, Dotter
PWN:eight.s.01		acht
PWN:elbow.n.01		Ellbogen
PWN:election.n.01		Wahl
PWN:electricity.n.02		Strom
PWN:elementary.s.01		einfach, leicht
PWN:elephant.n.01		Elefant
PWN:eleven.s.01		elf
PWN:elf.n.01		Fee, Elfe
PWN:elk.n.01		Elch
PWN:elongate.v.01		dehnen, strecken, spannen
PWN:ember.n.01		Glut
PWN:embrace.v.02		umarmen
PWN:empty.a.01		leer
PWN:enchantress.n.02		Zauberer, Zauberin; Hexe
PWN:end.n.03		Ende, Schluss
PWN:end.n.09		Ende
PWN:end.v.01		aufhören
PWN:enough.r.01		genug
PWN:enter.v.01		hineingehen, eintreten
PWN:entirely.r.02		einzig
PWN:estimate.v.01		raten
PWN:evening.n.01		Abend
PWN:ewe.n.03		Mutterschaf
PWN:exclaim.v.01		schreien, rufen
PWN:exit.v.01		hinausgehen
PWN:exit.v.01		weggehen
PWN:expensive.a.01		teuer
PWN:explain.v.01		erklären
PWN:eye.n.01		Auge
PWN:eyebrow.n.01		(Augen)Braue
PWN:eyelash.n.01		Wimper
PWN:eyelid.n.01		(Augen)Lid
PWN:fabric.n.01		Stoff, Tuch
PWN:face.n.01		Gesicht
PWN:fail.v.03		verraten, betrügen
PWN:faineant.s.01		faul, träge
PWN:faithful.a.01		treu
PWN:fall.n.01		Herbst
PWN:fall.v.01		fallen
PWN:family.n.02		Familie
PWN:famine.n.02		Hungersnot
PWN:fan.n.01		Fächer
PWN:fan.v.03		fächern
PWN:far.r.02		fern, weit
PWN:farmer.n.01		Bauer
PWN:fart.v.01		furzen
PWN:fast.r.01		schnell, rasch, geschwind
PWN:fast.v.01		fasten
PWN:fat.n.01		Fett
PWN:father.n.01		Vater
PWN:fatherland.n.01		Heimatland
PWN:fathom.n.01		Klafter
PWN:faucet.n.01		Wasserhahn
PWN:fault.n.06		Schuld
PWN:faulty.s.02		falsch
PWN:fear.n.01		Angst, Furcht
PWN:feather.n.01		Feder
PWN:feel.v.09		fühlen, tasten
PWN:felt.n.01		Filz
PWN:female.a.01		weiblich
PWN:female.s.03		weiblich
PWN:female_child.n.01		Mädchen
PWN:fence.n.01		Zaun
PWN:fetid.s.01		stinkend
PWN:fever.n.01		Fieber
PWN:few.a.01		wenige
PWN:field.n.01		Feld, Acker
PWN:fifteen.s.01		fünfzehn
PWN:fig.n.04		Feige
PWN:fin.n.06		Flosse
PWN:find.v.03		finden
PWN:fine.n.01		(Geld)Buße, Bußgeld
PWN:finger.n.01		Finger
PWN:fingernail.n.01		Fingernagel
PWN:fir.n.02		Tanne; Fichte
PWN:fire.n.03		Feuer
PWN:fire.n.03		Flamme
PWN:fireplace.n.01		Feuerstätte, Kamin, Herd
PWN:firewood.n.01		Brennholz
PWN:first.a.01		erster
PWN:fish.n.01		Fisch
PWN:fisherman.n.01		Fischer
PWN:fishhook.n.01		Angelhaken
PWN:fishing_line.n.01		Angelschnur
PWN:fishnet.n.01		Fischernetz
PWN:five.s.01		fünf
PWN:flat.s.01		flach, platt
PWN:flay.v.01		häuten, schinden
PWN:flea.n.01		Floh
PWN:flee.v.01		fliehen
PWN:flesh.n.01		Fleisch
PWN:flex.v.05		biegen
PWN:flip.v.06		werfen
PWN:float.v.02		schwimmen, treiben
PWN:floor.n.01		Fußboden, Boden
PWN:flour.n.01		Mehl
PWN:flower.n.02		Blume
PWN:flute.n.01		Flöte
PWN:fly.n.01		Fliege
PWN:fly.v.01		fliegen
PWN:foam.n.01		Schaum
PWN:foe.n.02		Feind
PWN:fog.n.01		Nebel
PWN:fold.v.01		falten
PWN:follow.v.01		folgen
PWN:following.s.02		nächster
PWN:food.n.02		Essen
PWN:foot.n.01		Fuß
PWN:footprint.n.01		Fußabdruck
PWN:forbid.v.01		verbieten, untersagen
PWN:forest.n.01		Wald
PWN:forge.v.01		schmieden
PWN:forget.v.02		vergessen
PWN:forgive.v.01		verzeihen, vergeben
PWN:fork.n.01		Gabel
PWN:fortress.n.01		Festung
PWN:four.s.01		vier
PWN:fox.n.01		Fuchs
PWN:fragrant.a.01		wohlriechend
PWN:freeman.n.01		freier Mann
