id	Definition
PWN:court.n.10	A small, usually uncultivated area adjoining or within the precincts of a house or other building.
PWN:cousin.n.01	The child of the sibling of a parent of a person.
PWN:cover.v.01	To place something over or upon to conceal or protect.
PWN:cow.n.01	Female bovine animal (Bos taurus) of the subfamily Bovinae of the family Bovidae.
PWN:cowardly.a.01	Not being brave or courageous; an attribute describing someone who is easily frightened or disheartened in the face of difficulty or danger.
PWN:coyote.n.01	(Canis latrans) A member of the Canidae family native to North America.
PWN:crack.n.01	a long narrow opening
PWN:crack.n.01	a long narrow cleft
PWN:crack.n.04	Quick breaking or cracking sound or the action of producing such a sound.
PWN:cradle.n.01	A bed for a baby.
PWN:crane.n.05	A large bird of the order Gruiformes and the family Gruidae having long legs and a long neck which it extends when flying.
PWN:crawl.v.01	To move using ones hands and knees.
PWN:crawl.v.01	To move with one's belly touching the ground.
PWN:credit.n.05	arrangement for deferred payment for goods and services
PWN:crime.n.01	Any act done in violation of those duties which an individual owes to the community, and for the breach of which the law has provided that the offender shall make satisfaction to the public. (Source: BLACK)
PWN:crippled.s.01	Moving with pain or difficulty on account of injury, defect or temporary obstruction of a function.
PWN:crisscross.n.01	A geometrical figure consisting of two straight lines or bars bisecting each other, or any figure or object of similar shape.
PWN:crisscross.n.01	a marking that consists of lines that cross each other
PWN:crooked.a.01	Opposite of straight.
PWN:crop.n.01	The crop gathered in a season.
PWN:crop.n.01	The output of plants cultivated that is grown on a large scale.
PWN:cross.n.01	a wooden structure consisting of an upright post with a transverse piece
PWN:crow.n.01	A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles; it has a harsh, croaking call.
PWN:crowd.n.01	A large group of people.
PWN:cry.n.01	An act of calling with the voice.
PWN:cry.v.02	To shed tears due to the impact of an emotion.
PWN:cube.n.01	a hexahedron with six equal squares as faces
PWN:cuckoo.n.02	The cuckoos are a family of birds, Cuculidae, the sole taxon in the order Cuculiformes.
PWN:cucumber.n.01	a melon vine of the genus Cucumis; cultivated from earliest times for its cylindrical green fruit
PWN:cucumber.n.02	The edible fruit of the cucumber plant, having a green rind and crisp white flesh.
PWN:cultivate.v.02	To prepare an area by tilling, planting seeds etc. in order to grow plants.
PWN:culture.n.01	a particular society at a particular time and place
PWN:culture.n.06	the attitudes and behavior that are characteristic of a particular social group or organization
PWN:cup.n.01	A concave vessel for holding liquid, generally adorned with either a handle or a stem.
PWN:cupboard.n.01	a small room (or recess) or cabinet used for storage space
PWN:curiosity.n.01	A desire to learn about something or somebody.
PWN:curium.n.01	Curium, the chemical element with atomic number 96 and symbol Cm.
PWN:current.n.02	A current, in a river or stream, is the flow of water influenced by gravity as the water moves downhill to reduce its potential energy.
PWN:curse.v.03	To imprecate evil or misfortune upon someone or something, usually by means of a prayer or implication.
PWN:curtain.n.01	Piece of cloth on a window intended to obscure the interior of a room or to prevent people from looking inside.
PWN:curve.n.01	the trace of a point whose direction of motion changes
PWN:curved.a.01	Being bent as to form an arch.
PWN:custom.n.01	A pattern of behavior inherited or acquired through frequent repetition.
PWN:cut.v.01	To perform an incision (for example, with a knife).
PWN:cycle.n.01	an interval during which a recurring sequence of events occurs
PWN:cylinder.n.01	a solid bounded by a cylindrical surface and two parallel planes (the bases)
PWN:dam.n.01	A wall to stop or control the flow of a stream or river.
PWN:damage.n.01	Loss or harm resulting from injury to person or objects.
PWN:damage.v.01	To put a thing in bad condition by causing damage to it.
PWN:damp.s.01	Refers to the presence of a liquid, especially water, often in trace amounts.
PWN:dance.v.02	To move with rhythmic steps or movements, especially in time to music.
PWN:dandruff.n.02	Small portion of dead skin cells shedding from the scalp.
PWN:danger.n.01	A situation that constitutes an immediate risk for injury on a person or property.
PWN:dangerous.s.02	causing fear or anxiety by threatening great harm
PWN:dare.v.02	To have enough courage (to do something).
PWN:dark.a.01	Having an absolute or (more often) relative lack of light.
PWN:dark.n.01	Absence of light.
PWN:darmstadtium.n.01	Darmstadtium, the chemical element with atomic number 110 and symbol Ds.
PWN:date.n.01	date (coordinates of a day given in some timekeeping system)
PWN:date.n.08	sweet edible fruit of the date palm with a single long woody seed
PWN:daub.v.03	To spread (a substance) across a surface by rubbing.
PWN:daughter.n.01	An animal's female offspring (including that of a human).
PWN:dawn.n.01	A period of time at the beginning of the day shortly before sunrise during which the light gradually becomes stronger.
PWN:day.n.01	The period between sunrise and sunset where one enjoys daylight.
PWN:day.n.05	A period of time lasting 24 hours.
PWN:dead.a.01	Not alive; lacking life.
PWN:deaf.a.01	Not having the faculty of hearing, or only having a restricted capability to hear.
PWN:death.n.01	The end of life.
PWN:debate.v.01	argue with one another
PWN:debate.v.03	discuss the pros and cons of an issue
PWN:debt.n.01	the state of owing something (especially money)
PWN:debt.n.02	Something owed to someone else.
PWN:decade.n.01	a period of 10 years
PWN:deceive.v.01	To trick someone by making them believe something that is not true or by acting in a dishonest way, usually in order to take advantage of it.
PWN:december.n.01	The 12th month of the Gregorian calendar.
PWN:deception.n.02	The act or practice of deceiving.
PWN:decide.v.01	To reach, make, or come to a decision about something.
PWN:decide.v.02	To act as a judge.
PWN:decompose.v.03	To be exposed to decomposition.
PWN:decorate.v.01	To make more attractive by adding ornament, colour, etc.
PWN:decoration.n.01	something used to beautify
PWN:decrease.v.01	To become smaller in number or size.
PWN:deep.a.01	relatively deep or strong; affecting one deeply
PWN:deep.a.03	Having a bottom or base that is far away from the top.
PWN:deer.n.01	The common name for 41 species of even-toed ungulates that compose the family Cervidae in the order Artiodactyla; males have antlers.
PWN:defeat.n.01	An end to a struggle or contest that did not end in success.
PWN:defect.n.03	an imperfection in an object or machine
PWN:defend.v.03	To keep something or someone safe or prevent harm coming to someone or something.
PWN:defendant.n.01	Any party who is required to answer the complaint of a plaintiff in a civil lawsuit before a court.
PWN:deft.s.01	Nimble in the use of the hands or body.
PWN:defy.v.01	resist or confront with resistance
PWN:degree.n.01	The extent, intensity or scope of an action, condition or relation.
PWN:deity.n.01	A supernatural, typically immortal being with superior powers.
PWN:delay.v.01	cause to be slowed down or delayed
PWN:delicate.s.03	easily broken or damaged or destroyed
PWN:delightful.s.01	greatly pleasing or entertaining
PWN:demonic.s.01	
PWN:dense.s.03	having high relative density or specific gravity
PWN:density.n.01	the amount per unit size
PWN:dent.n.03	an impression in a surface (as made by a blow
PWN:deny.v.04	To refuse strongly and solemnly to own or acknowledge.
PWN:depart.v.03	To get oneself in motion in order to arrive at some other place.
PWN:depend.v.01	be contingent upon (something that is elided)
PWN:depository_financial_institution.n.01	A financial institution where one can borrow money (upon which interest is due) or deposit money (in order to collect interest).
PWN:depression.n.01	a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
PWN:depth.n.01	the distance from ground or baseline down to bottom
PWN:descend.v.01	To go from a higher to a lower place.
PWN:descendants.n.01	One who is the progeny of someone at any distance of time.
PWN:describe.v.01	give a description of
PWN:desert.n.01	arid land with little or no vegetation
PWN:deserve.v.01	be worthy or deserving
PWN:desire.n.01	the feeling that accompanies an unsatisfied state
PWN:desire.n.01	The strong desire for something.
PWN:desire.v.01	To want to do something or to wish for something to happen.
PWN:desk.n.01	a piece of furniture with a writing surface and usually drawers or other compartments
PWN:destiny.n.01	The power or agency that, according to certain belief systems, predetermines and orders unalterably the course of events.
PWN:destroy.v.01	do away with, cause the destruction or undoing of
PWN:destroy.v.02	To damage beyond use or repair.
PWN:detail.n.01	an isolated fact that is considered separately from the whole
PWN:detainee.n.01	A person held against his will.
PWN:detect.v.01	To become aware of something.
PWN:devil.n.02	Evil spirit or person that is wicked or cruel in their actions.
PWN:dew.n.01	Atmospheric moisture that condenses after a warm day and appears during the night on cool surfaces as small drops.
PWN:diagonal.s.01	connecting two nonadjacent corners of a plane figure or any two corners of a solid that are not in the same face
PWN:dial.n.01	the face of a timepiece; graduated to show the hours
PWN:diarrhea.n.01	A condition in which the sufferer has frequent and watery bowel movements.
PWN:diary.n.01	a daily written record of (usually personal) experiences and observations
PWN:dictator.n.01	a speaker who dictates to a secretary or a recording machine
PWN:dictator.n.02	a ruler who is unconstrained by law
PWN:dictionary.n.01	a reference book containing an alphabetical list of words with information about them
PWN:die.v.01	To cease to live.
PWN:different.a.01	that is not the same as something else in nature or quality or form or degree 
PWN:difficult.a.01	Not easy, which needs hard work, patience and effort of either the physical or mental kind.
PWN:dig.v.01	To move earth, rocks, etc. out of the way, usually to create a hole.
PWN:digest.v.03	To allow (something that one dislikes or disagrees with) to continue to exist or occur without interference; accept or undergo, often unwillingly.
PWN:dining_room.n.01	a room used for eating meals
PWN:dining.n.01	the act of eating dinner
PWN:dinner.n.01	A meal that is eaten in the late afternoon or evening daily.
PWN:diplopoda.n.01	Any of various flattened, wormlike arthropods of the class Chilopoda, whose bodies are divided into many segments, each with one pair of legs.
PWN:direct.a.01	direct in spatial dimensions; proceeding without deviation or interruption; straight and short
PWN:direction.n.01	a line leading to a place or point
PWN:direction.n.02	the spatial relation between something and the course along which it points or moves
PWN:dirt.n.02	Any unclean substance, such as mud, dust, dung etc.
PWN:dirty.a.01	Covered with or containing unpleasant substances such as dirt or grime.
PWN:dirty.v.01	make soiled, filthy, or dirty
PWN:disappear.v.01	To cease to appear, to not be visible anymore.
PWN:disappointment.n.01	A feeling of sadness because something did not happen the way it was expected or did not happen at all.
PWN:disapprove.v.02	react negatively to; consider wrong or inappropriate
PWN:disclosure.n.01	the speech act of making something evident
PWN:discontinue.v.01	To stop doing something, voluntarily or involuntarily.
PWN:discontinue.v.01	To stop doing the action one was doing.
PWN:discourse.v.01	to consider or examine in speech or writing
PWN:disease.n.01	A definite pathological process having a characteristic set of signs and symptoms which are detrimental to the well-being of the individual.
PWN:dish.n.01	Any kind of vessel for holding or serving meals.
PWN:disk.n.01	something with a round shape resembling a flat circular plate
PWN:dislike.v.01	have or feel a dislike or distaste for
PWN:disobey.v.01	refuse to go along with; refuse to follow; be disobedient
PWN:disperse.v.02	To throw or drop things in different directions so that they cover a large area.
PWN:disquieted.s.01	afflicted with or marked by anxious uneasiness or trouble or grief: upset, agitated
PWN:disregard.n.01	Failure to care for or attend to something.
PWN:dissolve.v.08	pass into a solution
PWN:dissolve.v.09	Go from a frozen to a liquid state.
PWN:distance.n.01	A separation in space.
PWN:distance.n.03	Distance is a numerical description of how far apart objects are.
PWN:distinguish.v.01	distinguish, differentiate, tell one from another
PWN:ditch.n.01	A long, narrow excavation artificially dug in the ground; especially an open and usually unpaved waterway, channel, or trench for conveying water for drainage or irrigation, and usually smaller than a canal. Some ditches may be natural watercourses.
PWN:dive.v.03	To swim under water.
PWN:divide.v.01	To split or separate something into two or more parts.
PWN:divide.v.02	perform an arithmetic division
PWN:divorce.n.01	Legal dissolution of a marriage.
PWN:doctor.n.01	A person who has completed a study of medicine, and as such tries to diagnose and cure diseases in patients.
PWN:document.n.01	writing that provides information (especially information of an official nature)
PWN:dog.n.01	A common four-legged animal, especially kept by people as a pet or to hunt or guard things.
PWN:doll.n.01	A model of a human, a humanoid, an animal or a fictional character, usually made of cloth or plastic and typically used as a toy.
PWN:dolphin.n.02	A carnivorous aquatic mammal inhabiting mostly in the shallower seas of the continental shelves.
PWN:dome.n.01	anything shaped like an upside-down bowl
PWN:domestic_ass.n.01	A domesticated animal, Equus asinus.
PWN:domestic_fowl.n.01	A bird that is kept for its meat and eggs.
PWN:donate.v.01	give to a charity or good cause
PWN:door.n.01	a swinging or sliding barrier that will close the entrance to a room or building or vehicle
PWN:doorjamb.n.01	The frame that supports a door.
PWN:doubt.n.01	Uncertainty about the truth or accuracy of a matter.
PWN:doubt.v.02	Be unsure about the truth or accuracy of a matter.
PWN:dough.n.01	A mixture of flour and water ready to be baked into bread, pastry etc.
PWN:dove.n.01	One of several birds of the family Columbidae.
PWN:down.r.01	Moving to a lower position.
PWN:drag.v.01	To draw slowly or heavily.
PWN:dragon.n.01	A mythical creature typically depicted as a winged, fire-breathing reptile with magical qualities.
PWN:drain.n.03	a pipe that carries away unwanted liquid
PWN:drama.n.03	the literary genre of works intended for the theater
PWN:draw.v.07	To draw by a physical force causing or tending to cause to approach, adhere, or unite.
PWN:dream.n.01	Successions of images, ideas, emotions, and sensations that occur usually involuntarily in the mind during certain stages of sleep.
PWN:dream.v.02	To experience while sleeping.
PWN:dress.n.01	A one-piece garment for a woman that has a skirt and a body section.
PWN:dress.v.01	To clothe oneself; to put on clothes.
PWN:drill.n.01	a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows)
PWN:drink.v.01	To consume a liquid through the mouth.
PWN:drip.n.01	flowing in drops; the formation and falling of drops of liquid
PWN:drip.v.01	To emit drops of liquid.
PWN:drive.v.01	To operate a vehicle.
PWN:drive.v.03	Drive a vehicle or cause vehicles, other objects, people or animals to move (typically while following them or sitting/standing on them).
PWN:drive.v.15	Cause animals to move while following them.
PWN:drivel.v.01	To let saliva flow out of one’s mouth onto one’s chin.
PWN:driver's_license.n.01	Official document granting someone the authorisation to drive some vehicles.
PWN:drop.n.01	A small amount of a liquid that falls in a round shape.
PWN:drop.v.01	To let something fall down.
PWN:droppings.n.01	Animal faeces.
PWN:drove.n.02	a moving crowd
PWN:drown.v.03	die from being submerged in water, getting water into the lungs, and asphyxiating
PWN:drown.v.03	To be suffocated in water or other fluid; to perish by suffocation in water.
PWN:drum.n.01	A percussion instrument consisting of at least one membrane that is stretched over a shell and struck directly with the player's hands or with a drumstick.
PWN:dry.a.01	(Almost) free from liquid or moisture.
PWN:dry.v.01	To lose moisture, usually through evaporation or absorption.
PWN:dry.v.01	To remove the moisture and make dry.
PWN:dubnium.n.01	Dubnium, the chemical element with atomic number 105 and symbol Db.
PWN:duck.n.01	An aquatic bird of the family Anatidae, having a flat bill and webbed feet.
PWN:dull.a.01	lacking in liveliness or animation
PWN:dull.a.09	not having an edge or point that is able to cut or pierce easily
PWN:dumb.s.04	Not making a sound.
PWN:dunk.v.01	To put something partially in a liquid for a short time and take it out again.
PWN:durable.s.01	existing for a long time
PWN:durable.s.02	capable of withstanding wear and tear and decay
PWN:duration.n.01	the period of time during which something continues
PWN:dust.n.01	Any kind of solid material divided in particles of very small size.
PWN:duty.n.01	the social force that binds you to the courses of action demanded by that force
PWN:dye.v.01	To modify the color of something by applying dye.
PWN:dysprosium.n.01	Dysprosium, the chemical element with atomic number 66 and symbol Dy.
PWN:each.s.01	All the members of a referred group individually.
PWN:eagle.n.01	Any of several large carnivorous birds in the family Accipitridae, having a powerful hooked bill and keen vision.
PWN:ear.n.01	The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea.
PWN:earlier.r.01	At a time before that.
PWN:earlier.r.01	earlier in time; previously
PWN:earlobe.n.01	The lower fleshy part of the human ear.
PWN:early.r.03	Before the expected time or towards the beginning of a time period.
PWN:earnest.s.01	characterized by a firm and humorless belief in the validity of your opinions
PWN:earring.n.01	A piece of jewelry worn on the ear.
PWN:earth.n.01	the 3rd planet from the sun; the planet we live on
PWN:earthquake.n.01	The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.
PWN:east.n.01	One of the four principal compass points, specifically 90°, conventionally directed to the right on maps. The direction of the rising sun.
PWN:easter.n.01	
PWN:eat.v.01	To consume something solid or semi-solid (usually food) by putting it into the mouth and eventually swallowing it.
PWN:eclipse.n.01	one celestial body obscures another
PWN:economical.s.03	avoiding waste
PWN:edge.n.01	the boundary of a surface
PWN:edge.n.06	The boundary of a surface.
PWN:egg_yolk.n.01	The yellow, spherical part of an egg that is surrounded by the white albumen, and serves as nutriment for the growing young.
PWN:egg.n.01	animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
PWN:egg.n.02	Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food.
PWN:eight.s.01	The natural number eight (8).
PWN:eighty.s.01	The natural number eighty (80).
PWN:einsteinium.n.01	Einsteinium, the chemical element with atomic number 99 and symbol Es.
PWN:elapse.v.01	Of time, to elapse, to be spent.
PWN:elastic.a.01	capable of resuming original shape after stretching or compression
PWN:elbow.n.01	The joint between arm and forearm.
PWN:elect.v.01	select by a vote for an office or membership
PWN:election.n.01	A process by which members of a population vote to choose a person to hold public office.
PWN:electricity.n.01	a physical phenomenon associated with stationary or moving electrons and protons
PWN:electricity.n.02	A general term used for all phenomena caused by electric charge whether static or in motion.
PWN:elementary.s.01	Requiring little skill or effort; posing no difficulty.
PWN:elephant.n.01	A mammal of the order Proboscidea, having a trunk, and two large ivory tusks jutting from the upper jaw. Elephants are the largest land animals now existing.
PWN:elevator.n.01	lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building
PWN:eleven.s.01	The natural number eleven (11).
PWN:elf.n.01	A mythical being similar to but distinct from human, related to nature, and usually with supernatural or magic powers.
PWN:elf.n.01	A mythical creature of Germanic mythology. In Norse mythology they were originally minor gods of nature and fertility. They are often pictured as youthful-seeming men and women of great beauty living in forests and other natural places, underground, or in wells and springs. They have been portrayed to be long-lived or immortal and they have magical powers attributed to them.
PWN:elk.n.01	The largest member of the deer family (Alces alces), of which the male has very large, palmate antlers.
PWN:ellipse.n.01	a closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it
PWN:elm.n.01	any of various trees of the genus Ulmus: important timber or shade trees
PWN:elongate.v.01	To lengthen by pulling.
PWN:embarrassment.n.01	the shame you feel when your inadequacy or guilt is made public
PWN:ember.n.01	A small, glowing piece of coal or wood, as in a dying fire.
PWN:embrace.v.02	To squeeze someone in one's arms.
PWN:emerge.v.01	To become known or apparent.
PWN:emit.v.02	to send out any form of matter pr energy in any manner
PWN:employment.n.02	Productive activity, service, trade, or craft for which one is regularly paid.
PWN:empty.a.01	Without content.
PWN:enchantress.n.02	A female person who practices magic.
PWN:enchantress.n.02	A person who practices magic.
PWN:end.n.03	The last or final part.
PWN:end.n.09	Extreme part.
PWN:end.v.01	To have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical.
PWN:endowment.n.01	A marked natural ability or skill.
PWN:enemy.n.02	an armed adversary (especially a member of an opposing military force)
PWN:energy.n.01	(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
PWN:enough.r.01	All that is required, needed, or appropriate.
PWN:enter.v.01	To go into.
PWN:enthusiasm.n.01	a feeling of excitement
PWN:entirely.r.02	Nothing more than.
PWN:entrance.n.01	something that provides access (to get in or get out)
PWN:envelope.n.01	a flat (usually rectangular) container for a letter, thin package, etc.
PWN:environment.n.02	the area in which something exists or lives
PWN:envy.n.01	A feeling of discontent or covetousness with regard to another's advantages, success, possessions, etc.
PWN:equal.a.01	having the same quantity, value, or measure as another
PWN:erbium.n.01	Erbium, the chemical element with atomic number 68 and symbol Er.
PWN:erstwhile.s.01	Coming before in time.
PWN:escape.v.01	To get free, to free oneself.
PWN:estimate.v.01	To suppose, to estimate or to make a surmise.
PWN:ethnic_group.n.01	a people, folk, the members of an ethnic group / nation
PWN:europium.n.01	Europium, the chemical element with atomic number 63 and symbol Eu.
PWN:evaluate.v.02	form a critical opinion of something by comparing something to criteria
PWN:evaporate.v.01	lose or cause to lose liquid by vaporization leaving a more concentrated residue
PWN:even.a.03	being level or straight or regular and without variation as e.g. in shape or texture; or being in the same plane or at the same height as something else
PWN:evening.n.01	That part of the day in which daylight decreases and the night falls.
PWN:ever.r.01	at any time
PWN:evil.a.01	Intending to harm or being/acting ethically wrong.
PWN:ewe.n.03	A female sheep.
PWN:exact.a.01	marked by strict and particular and complete accordance with fact
PWN:example.n.01	an item of information that is typical of a class or group
PWN:excessively.r.01	to a degree exceeding normal or proper limits
PWN:exchange.v.01	To hand out one thing while receiving another thing or to replace one thing with another.
PWN:exclaim.v.01	To say something in a loud voice.
PWN:exercise.n.01	the activity of exerting your muscles in various ways to keep fit
PWN:exercise.n.03	systematic training by multiple repetitions
PWN:exist.v.01	have an existence, be extant
PWN:exit.v.01	To move away from a place, a situation or a talk.
PWN:exit.v.01	To move out of or depart from.
PWN:expand.v.01	extend in one or more directions
PWN:expect.v.01	regard something as probable or likely to come or happen
PWN:expensive.a.01	Having a high price, cost.
PWN:experience.v.01	Live through an event consciously.
PWN:experiment.n.01	the act of conducting a controlled test or investigation
PWN:explain.v.01	To inform about the reason for something, how something works, or how to do something.
PWN:explode.v.01	cause to burst with a violent release of energy
PWN:extend.v.04	present for acceptance or rejection
PWN:extinguish.v.04	terminate, end, or take out
PWN:extraneous.s.03	Not belonging to that in which it is contained; introduced from an outside source.
PWN:exuberate.v.01	to express great joy
PWN:eye.n.01	The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals and humans see.
PWN:eyebrow.n.01	The hair that grows over the bone ridge above the eye socket.
PWN:eyelash.n.01	One of the hairs that grows on the eyelid, around the eyes.
PWN:eyelid.n.01	A skin flap that can be closed over an eye.
PWN:fabric.n.01	A woven fabric such as used in dressing, decorating, cleaning or other practical use.
PWN:face.n.01	The front part of the head, featuring the eyes, nose, and mouth and the surrounding area.
PWN:fact.n.01	a piece of information about circumstances that exist or events that have occurred
PWN:factory.n.01	a plant consisting of one or more buildings with facilities for manufacturing
PWN:fail.v.01	Not succeeding in an endeavour (of persons) or to stop working as intended (of objects).
PWN:fail.v.03	To harm someone or hurt their feelings by violating their trust or being disloyal to them.
PWN:faineant.s.01	Unwilling to do work or make an effort.
PWN:fair.a.01	free from favoritism or self-interest or bias or deception; conforming with established standards or rules
PWN:fairy.n.01	A supernatural flying humanoid possessing magical powers.
PWN:fairytale.n.01	A fairy tale is a type of short story that typically features folkloric fantasy characters, such as dwarves, dragons, elves, fairies, giants, gnomes, goblins, griffins, mermaids, talking animals, trolls, unicorns, or witches, and usually magic or enchantments.
PWN:faithful.a.01	Steadfast in affection.
PWN:fall_asleep.v.01	To go to sleep; to change from waking state to sleeping state.
PWN:fall.n.01	The season after summer and before winter, traditionally from September 21 to December 20 in the northern hemisphere and from March 21 to June 20 in the southern hemisphere.
PWN:fall.v.01	To descend in free fall due to the effect of gravity.
PWN:fall.v.23	To fall over (usually unexpectedly) onto the ground or floor, due to the floor being slippery, smooth or slimy.
PWN:false.a.01	Not concurring with a given set of facts; fake; unreal.
PWN:familiar.a.01	well known or easily recognized
PWN:family.n.02	A group comprising parents, offsprings and others closely related or associated with them.
PWN:famine.n.02	A severe shortage of food, as through crop failure or over population. It may be due to poor harvests following drought, floods, earthquake, war, social conflict, etc.
PWN:fan.n.01	a device for creating a current of air by movement of a surface or surfaces
PWN:fan.n.01	A device for creating a current of air by movement of a surface or surfaces. (WN:360)
PWN:fan.v.03	To blow air on (something) by means of a fan (hand-held, mechanical or electrical) or otherwise.
PWN:fanciful.s.02	not based on fact; unreal
PWN:far.a.01	located at a great distance in time or space or degree
PWN:far.r.02	at or to or from a great distance in space
PWN:faraway.s.01	Having a large intervening distance with regard to something.
PWN:farm.n.01	Any tract of land or building used for agricultural purposes, such as for raising crops and livestock.
PWN:farmer.n.01	A person who works the land or who keeps livestock, especially on a farm.
PWN:fart.v.01	To emit digestive gases through the anus.
PWN:fashion.n.04	A style of clothing typical to a certain period of time.
PWN:fast.r.01	Occurring or happening within a short time.
PWN:fast.v.01	To consume little or no food for a specific period of time, usually done for religious reasons.
PWN:fast.v.01	To refrain from eating.
PWN:fat.n.01	Esters of three fatty acid chains and the alcohol glycerol which form a semi-solid substance in room temperature and occur in animals and plants.
PWN:fat.s.05	marked by great fruitfulnes, able to support plant growth
PWN:father.n.01	A male parent.
PWN:fatherland.n.01	One’s country of birth.
PWN:fathom.n.01	A linear unit of measurement, equal to 6 feet, for water depth.
PWN:faucet.n.01	A device applied to the end of a pipe in order to interrupt and regulate the flow of a liquid or gas.
PWN:fault.n.06	Responsibility for a wrong act done deliberately or a good act omitted deliberately.
PWN:faulty.s.02	Not correct.
PWN:fear.n.01	An emotion experienced in anticipation of some specific pain or danger.
PWN:fear.v.01	To be scared of; to have an uncontrollable emotion of anxiety about something that causes a scared reaction or frightening impression.
PWN:feather.n.01	A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.
PWN:february.n.01	The second month of the Gregorian calendar, having 29 days in a leap year and 28 in other years.
PWN:fecal_matter.n.01	Substance that human and animal bodies release from time to time as a little pile of waste remaining from digestion, after it has been collected in the colon.
PWN:feed.v.01	To give food.
PWN:feel.v.03	To sense something by touching its surface.
PWN:feel.v.09	To sense things mentally (pain, joy, etc.) or to be in some emotional state.
PWN:feeling.n.01	Sensing things mentally (pain, joy, etc.).
PWN:feign.v.01	make believe with the intent to deceive
PWN:felt.n.01	A cloth or stuff made of matted fibres of wool, or wool and fur, fulled or wrought into a compact substance by rolling and pressure, with lees or size, without spinning or weaving.
PWN:female_child.n.01	A young female person, usually a child or teenager.
PWN:female.a.01	Relating to the female sex of animals (adjective).
PWN:female.s.03	Relating to the female sex of humans.
PWN:fence.n.01	Delimitation for an area.
PWN:fermium.n.01	Fermium, the chemical element with atomic number 100 and symbol Fm.
PWN:fetid.s.01	Having a bad smell.
PWN:fetus.n.01	an unborn or unhatched vertebrate in the later stages of development showing the main recognizable features of the mature animal
PWN:fever.n.01	A higher than normal temperature of a person (or generally a mammal).
PWN:few.a.01	More than one, but not as many as usual or as expected.
PWN:fiction.n.01	a literary work based on the imagination and not necessarily on fact
PWN:field_hockey.n.01	a game resembling ice hockey that is played on an open field; two opposing teams use curved sticks try to drive a ball into the opponents' net
PWN:field.n.01	A limited area of land with grass or crops growing on it, which is usually surrounded by fences or closely planted bushes when it is part of a farm.
PWN:fifteen.s.01	The natural number fifteen (15).
PWN:fifty.s.01	The natural number fifty (50).
PWN:fig.n.02	Mediterranean tree widely cultivated for its edible fruit ❲Ficus carica❳
PWN:fig.n.04	The fruit of the fig tree, pear-shaped and containing many small seeds.
PWN:file.n.01	a set of related records (either written or electronic) kept together
PWN:file.n.04	A hand tool with a long flat metal bar used to re-shape objects.
PWN:fill.v.01	To make full.
PWN:film.n.04	a very thin layer or coating
PWN:fin.n.06	An appendage of a fish used for swimming.
PWN:finally.r.01	after an unspecified period of time or an especially long delay
PWN:find.v.03	To encounter something by accident or after searching for it.
PWN:fine-looking.s.01	Being pleasant to watch (of humans).
PWN:fine.a.05	Of a substance: divided into or consisting of very small pieces.
PWN:fine.n.01	A pecuniary punishment or penalty imposed by lawful tribunal upon person convicted of crime or misdemeanor.
PWN:finger.n.01	One of the long extremities of the hand that is used for gripping objects.
PWN:fingernail.n.01	The hard, flat, translucent covering near the tip of a human finger, useful for scratching and fine manipulation.
PWN:finish.n.04	the place designated as the end (as of a race or journey)
PWN:fir.n.02	An evergreen coniferous tree of the genus Abies.
PWN:fire.n.01	The state of combustion in which inflammable material burns, producing heat, flames and often smoke.
PWN:fire.n.03	A bright yellow, red or bluish light which emerges during combustion processes.
PWN:fire.n.03	The state of combustion in which inflammable material burns, producing heat, flames and often smoke.
PWN:fireplace.n.01	An open recess in a wall at the base of a chimney where a fire may be built.
PWN:firewood.n.01	Wood intended to be burned.
PWN:firm.s.02	Firm to the touch.
PWN:first.a.01	Having no predecessor. The ordinal number corresponding to one.
PWN:first.r.02	When first seen or considered.
PWN:first.s.02	indicating the beginning unit in a series
PWN:fish.n.01	A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).
PWN:fish.v.02	To hunt for fishes (general expression).
PWN:fisherman.n.01	A person whose profession is catching fish.
PWN:fishhook.n.01	A metal hook for catching fish.
PWN:fishing_line.n.01	A line intended to fasten hooks in when fishing.
PWN:fishnet.n.01	A net used to catch fish.
PWN:fist.n.01	The closed hand with the fingers on the palm.
PWN:five.s.01	The natural number five (5).
PWN:fix.v.12	To carry out things in advance to avoid to be later not able to do them.
PWN:flag.n.01	emblem usually consisting of a rectangular piece of cloth of distinctive design
