id	style	word	pronunciation	etymology
PWN:arsenic.n.02		aseniki	
PWN:artery.n.01		mshipa		
PWN:artist.n.01		mwanasanaa	
PWN:ascend.v.01		-enda juu		
PWN:ascend.v.01		-panda (2)		
PWN:ash.n.01		jivu		
PWN:ask.v.01		kusaili	
PWN:ask.v.01		kuuliza	
PWN:ask.v.02		-omba		
PWN:ask.v.05		-uliza		
PWN:asparagus.n.01		asparaga	
PWN:astatine.n.01		astatini	
PWN:astronomy.n.01		falaki	
PWN:attack.n.05		shambulio		
PWN:attribute.n.02		sifa	
PWN:aunt.n.01		mama		
PWN:aunt.n.01		shangazi		
PWN:aurora_borealis.n.01		miali ya kaskazini ya dunia		
PWN:avaricious.s.01		uroho		
PWN:avocado.n.01		mparachichi	
PWN:awl.n.01		maharazi		arb:miḫraz
PWN:ax.n.01		shoka		
PWN:axle.n.01		ekseli		eng:axle
PWN:baby.n.01		mtoto mchanga		
PWN:back.n.01		mgongo		
PWN:bad.a.01		-baya		
PWN:bad.a.01		-ovu		
PWN:bag.n.01		mfuko	
PWN:bait.n.02		chambo		
PWN:bake.v.02		-oka		
PWN:bald.s.02		upara		
PWN:ball.n.01 		mpira	
PWN:ball.n.03		tufe		:ṭūfa
PWN:bamboo.n.01		mwanzi		
PWN:banana.n.02		ndizi		
PWN:bandage.n.01		bendeji	
PWN:banyan.n.01		mlandawa		
PWN:bare.s.01		uchi		
PWN:barium.n.01		bari	
PWN:bark.n.01		gome		
PWN:barley.n.02		shayiri		arb:šaˁīr
PWN:barter.v.01		biashara		arb:baiˁa(t) wa-širāˀ
PWN:baseball.n.01		besiboli	
PWN:basket.n.01		kikapu		
PWN:bat.n.01		popo		
PWN:bathe.v.01		-oga		
PWN:battery.n.02		betri		eng:battery
PWN:battle.n.01		vita		
PWN:bay.n.01		ghuba		:ġubb, ġubba(t)
PWN:be.v.03		-wa		
PWN:be.v.11		hai		arb:ḥayy
PWN:be_born.v.01		-zaliwa		
PWN:bead.n.01		ushanga		
PWN:beak.n.02		mdomo		
PWN:beam.n.02		boriti		
PWN:bean.n.01		haragwe		
PWN:bear.n.01		dubu		arb:dubb
PWN:beard.n.01		ndevu		
PWN:beautiful.a.01		-zuri		
PWN:beautiful.a.01		zuri	
PWN:become.v.01		-wa		
PWN:bed.n.01		kitanda		
PWN:bee.n.01		nyuki		
PWN:beehive.n.04		mzinga		
PWN:beer.n.01		bia		eng:beer
PWN:beer.n.01		pombe		
PWN:beeswax.n.01		nta		
PWN:beget.v.01		-zaa		
PWN:beggar.n.01		mwombaji		
PWN:begin.v.03		-anza		
PWN:beginning.n.01		mwanzo		
PWN:believe.v.01		-amini		arb:ˀamina (a), ˀāmana (IV)
PWN:belt.n.02		mkanda, ukanda		
PWN:berkelium.n.01		berkeli	
PWN:beryllium.n.01		berili	
PWN:beverage.n.01		kinywaji		
PWN:bicycle.n.01		baisikeli		eng:bicycle
PWN:big_brother.n.02		kaka		
PWN:big_brother.n.02		mkubwa		
PWN:big_brother.n.02		ndugu		
PWN:big_sister.n.01		dada		
PWN:big_sister.n.01		mkubwa		
PWN:big_sister.n.01		ndugu		
PWN:bill.n.02		bili		eng:bill
PWN:billy.n.02		beberu		hin:barbarī
PWN:biology.n.01		biolojia	
PWN:birch.n.02		mbetula		:betula
PWN:bird.n.01		ndege		
PWN:birth_certificate.n.01		cheti cha kuzaliwa		
PWN:bismuth.n.01		bismuthi	
PWN:bison.n.01		baisani	
PWN:bite.v.01		-uma		
PWN:bitter.s.06		-chungu (2)		
PWN:black.a.01		-eusi		
PWN:black.a.01		eusi	
PWN:blacksmith.n.01		mhunzi (wa chuma)		
PWN:blanket.n.01		blangeti, blanketi		eng:blanket
PWN:blast.v.07		-piga risasi		
PWN:bless.v.01		-bariki		arb:barraka (ii), bāraka (III)
PWN:blind.a.01		kipofu		
PWN:blink.v.01		-kopesa (macho)		
PWN:blink.v.01		-pepesa (macho)		
PWN:blister.n.03		lengelenge		
PWN:blood.n.01		damu		arb:dam
PWN:blow.v.02		-puliza		
PWN:blow.v.02		-vuma		
PWN:blue.s.01		buluu	
PWN:blue.s.01		buluu, bluu		eng:blue
PWN:blunt.s.02		butu		
PWN:board.n.02		ubao		
PWN:boast.v.01		-jigamba		ksb:-ɣamba
PWN:boast.v.01		-jiona		
PWN:boast.v.01		-jisifu		
