id	style	word	pronunciation
PWN:sharpen.v.01		oštriti
PWN:shave.v.01		brijati se
PWN:shears.n.01		makaze
PWN:shirt.n.01		košulja
PWN:shoe.n.01		cipela
PWN:sing.v.02		pevati
PWN:sink.v.01		tonuti
PWN:sit_down.v.01		sedeti
PWN:skate.v.01		voziti se
PWN:ski.n.01		skijati
PWN:skin.v.04		ljuštiti
PWN:sleep.v.01		spavati
PWN:smell.v.01		mirisati
PWN:smoke.v.01		pušiti
PWN:snail.n.01		puž
PWN:snake.n.01		zmija
PWN:snog.v.01		ljubiti
PWN:snowman.n.01		sneško belić
PWN:snuff_out.v.02		gasiti
PWN:sock.n.01		čarapa
PWN:sofa.n.01		sofa
PWN:spectacles.n.01		naočare
PWN:spill.v.01		prosipati
PWN:spin.v.06		presti
PWN:spoon.n.01		kašika
PWN:squeeze.v.02		cediti
PWN:squirrel.n.01		veverica
PWN:stairs.n.01		stepenice
PWN:star.n.03		zvezda
PWN:steal.v.01		krasti
PWN:sting.v.02		ubosti
PWN:stir.v.01		mešati
PWN:sun.n.01		sunce
PWN:sweep.v.06		čistiti
PWN:swim.v.01		plivati
PWN:swing.v.01		ljuljati se
PWN:table.n.02		radni sto
PWN:tail.n.01		rep
PWN:tank.n.01		tenk
PWN:tear.v.01		cepati
PWN:telephone.n.01		telefon
PWN:television_receiver.n.01		televizor
PWN:thermometer.n.01		termometar
PWN:tie.v.01		vezivati
PWN:tiger.n.02		tigar
PWN:tomato.n.01		paradajz
PWN:transport.v.02		nositi
PWN:tree.n.01		drvo
PWN:trouser.n.01		pantalone
PWN:turtle.n.02		kornjača
PWN:umbrella.n.01		kišobran
PWN:wake_up.v.02		buditi se
PWN:walk.v.01		hodati
PWN:wash.v.03		prati
PWN:watch.v.01		sat
PWN:water.v.01		zalivati
PWN:watermelon.n.02		lubenica
PWN:wave.n.01		talas
PWN:weigh.v.01		meriti
PWN:whisper.v.01		šaputati
PWN:whistle.v.03		zviždati
PWN:white.a.01		Bela
PWN:wipe_up.v.01		čistiti
PWN:write.v.02		pisati
PWN:yellow.s.01		Zuta
PWN:zebra.n.01		zebra
