id	style	word	morphology	etymology
PLX:1PL POSS.pro		mein	me-i-n
PLX:1PL.pro		mei	me-i
PLX:1SG POSS.pro		men	me-n
PLX:1SG.pro		me	me
PLX:2PL POSS.pro		tein	te-i-n
PLX:2PL.pro		tei	te-i
PLX:2SG POSS.pro		ten	te-n
PLX:2SG.pro		te	te
PLX:3PL POSS.pro		sein	se-i-n
PLX:3PL.pro		sei	se-i
PLX:3SG POSS.pro		sen	se-n
PLX:3SG.pro		se	se
PLX:aha.int		aha	aha
PLX:and.cnj		ja	ja	fin:est:ja
PLX:bon voyage.int		par men	par men
PLX:can.v		vojni	voj-ni	fin:voida, est:võima, hun:ví + erz:вий, kom:вын
PLX:erzya.n		erzja	erzja
PLX:from.pp		-ta	-ta
PLX:haha.int		haha	haha
PLX:hello.int		terve	terve
PLX:hey.int		hei	hei
PLX:in the name of God.phr		juman nimna	juma-n nim-na
PLX:moksha.n		mokše	mokše
PLX:nothing.pro		nemi	ne-mi
PLX:of.pp		-n	-n
PLX:oganesson.n		oganeson	oganeson
PLX:okay.n.01		okei	okei
PLX:or.cnj		vaj	vaj	hun:vagy, fin:vai, est:või
PLX:other.pro		mu	mu	fin:muu, hun:más, man:мо̄т, udm:мукет, kom:мукӧд
PLX:thanks.int		kösen	kösen
PLX:thanks.int		kösenem	kösenem
PWN:abdomen.n.01		kokte	kokte	est:kõht, udm:кӧт (köt)  + fin:kohtu
PWN:ask.v.01		küsni	küs-ni	fin:kysyä, est:küsima
PWN:back.n.01		selge	selge
PWN:beard.n.01		sakal	sakal	hun:szakáll, mok:erz:сакал (sakal)
PWN:bedroom.n.01		admatoba	ad-ma-toba
PWN:belt.n.02		vö	vö	hun:öv, fin:vyö, est:vöö, kom:вӧнь (vön’)
PWN:birch.n.02		kojvu	kojvu	fin:koivu, est:kõiv, mok:килей (kilej), mar:куэ (kue), nen:хо (xo)
PWN:bird.n.01		lindu	lindu	fin:lintu, est:lind, sam:loddi + hun:lúd + mar:лудо
PWN:bird.n.01		lundu	lundu	fin:lintu, est:lind, sam:loddi + hun:lúd + mar:лудо
PWN:black.a.01		peke	peke	proto-ugri:pᴕ̈kkɜ-ttɜ , hun:fekete, man:petge
PWN:blood.n.01		ver	ver	hun:vér, fin:est:veri
PWN:body.n.01		runga	runga	fin:runko, kar:runka, mok:ро́нга (ronga), erz:рунго (rungo)
PWN:bone.n.01		lu	lu	fin:est:luu, mar:лу, udm:kom:лы, man:лув, mok:erz:ловажа + hun:láb
PWN:book.n.02		könje	könje	hun:könyv, mok:конёв, mok:erz:kom:udm:книга
PWN:bow.n.04		jovs	jovs
PWN:brain.n.01		aivu	aivu	hun:agy, est:aju, fin:aivo
PWN:breath.n.02		löl	löl	hun:lélek, udm:лул, kom:лов + (löyly) fin:löyly, est:leil, sam:lievla
PWN:butter.n.01		voj	voj	hun:vaj, fin:voi, est:või, mok:вай (vaj), erz:ой (oj), mar:ӱй (üj), udm:вӧй (vöj), kom:вый (vïj), han:вой (voj)
PWN:cap.n.01		sapka	sapka	hun:sapka, erz:чапка, kom:шапка
PWN:carve.v.02		vesni	ves-ni	fin:veistää, est:vestma, hun:vés
PWN:cheremis.n.02		mari kel	mari kel
PWN:cloud.n.02		pelve	pelve
PWN:coldness.n.03		külme	külme
PWN:core.n.02		videm	videm	fin:ydin, est:üdi, erz:удем, hun:velő, udm:виым, kom:вем
PWN:cough.v.01		köhni	köh-ni	fin:köhiä, est:köhima, hun:köhög
PWN:count.v.04		lugni	lug-ni	fin:lukea, mok:лувомс, erz:ловомс, mar:лудаш, udm:лыдзьыны, kom:лыддьыны + hun:olvas
PWN:door.n.01		ukse	ukse	fin:uksi, est:uks + udm:ӧс, kom:ӧдзӧс
PWN:ear.n.01		pilje	pilje
PWN:elbow.n.01		köner	köner
PWN:estonia.n.01		Eesti ma	Eesti ma
PWN:estonian.a.01		eesti	eesti
PWN:estonian.n.01		eesti kel	eesti kel
PWN:eye.n.01		silma	silma
PWN:fabric.n.01		kud	kud
PWN:fat.n.01		kuj	kuj	fin:kuu, mok:erz:куя, mar:коя, udm:кӧй
PWN:feather.n.01		tolga	tolga
PWN:find.v.03		ledni	led-ni	hun:lel, fin:löytää, est:leidma
PWN:finger.n.01		sorme	sorme	fin:sormi, est:sorm, mok:erz:сур
PWN:fingernail.n.01		käd künze	käd künze
PWN:finland.n.01		Suome ma	Suome ma
PWN:finnish.a.01		suome	suome
PWN:finnish.n.01		suome kel	suome kel
PWN:finno-ugric.n.01		suome-ugor keli	suome-ugor keli
PWN:fir.n.02		kus	kus
PWN:fire.n.01		tul	tul
PWN:fly.n.01		kärbe	kärbe	fin:kärpänen, est:kärbes, mok:кару, erz:карво
PWN:fog.n.01		sum	sum	fin:sumu, saa:sopmi, erz:сув (suv), han:шув (šuv)
PWN:foot.n.01		jalga	jalga	fin:jalka, est:jalg, saa:juolgi, mar:йол (jol)
PWN:forgive.v.01		laskeni	laske-ni	fin:laskea, est:laskma, udm:лэзьыны, kom:лэдзны
