id	Concepticon id	Definition
Clothing/Grooming:dress up.V	814	To clothe oneself; to put on clothes.
Clothing/Grooming:dress.N	474	A one-piece garment for a woman that has a skirt and a body section.
Clothing/Grooming:dye.V	157	To modify the color of something by applying dye.
Clothing/Grooming:earring.N	770	A piece of jewelry worn on the ear.
Clothing/Grooming:felt.N	325	A cloth or stuff made of matted fibres of wool, or wool and fur, fulled or wrought into a compact substance by rolling and pressure, with lees or size, without spinning or weaving.
Clothing/Grooming:file (something).V	3113	Make something smooth, often nails or other parts of the body.
Clothing/Grooming:g-string.N	468	A thong underwear or swimsuit, a narrow piece of cloth, leather, or plastic, that covers or holds the genitals, passes between the buttocks, and is attached to a band around the hips.
Clothing/Grooming:glove.N	867	A garment for a hand, often extending to the wrist and sometimes up to the elbow, which either covers each finger individually, or separates the thumb from the other fingers.
Clothing/Grooming:grass-skirt.N	328	A skirt made from long dried grass, or synthetic material resembling it.
Clothing/Grooming:handkerchief.N	1020	A piece of cloth, usually square and often fine and elegant, carried for wiping the face, nose or hands.
Clothing/Grooming:hat.N	771	An item of clothing intended to cover the head made from material hard enough to have a shape independant of the skull, and most commonly with a rim.
Clothing/Grooming:headband or headdress.N	3457	An cloth or strip of cloth worn on or around the head.
Clothing/Grooming:headband.N	330	A strip of fabric worn around the head, or a hair-accessory made of a flexible material and curved like a horseshoe, for holding one's hair back.
Clothing/Grooming:headdress.N	331	A decorative covering or ornament worn on the head.
Clothing/Grooming:headgear.N	2130	Any element of clothing which is worn on one's head.
Clothing/Grooming:hemp cloth.N	2161	A woven fabric such as used in dressing, decorating, cleaning or other practical use which is made from hemp.
Clothing/Grooming:iron (clothes).V	3118	To make clothes smooth by brushing over them with a heated tool.
Clothing/Grooming:jacket.N	2770	A mid-stomach–length garment for the upper body.
Clothing/Grooming:jewel.N	1029	A precious stone such as a diamond, a sapphire or an agate.
Clothing/Grooming:leather.N	629	The dressed or tanned hide of an animal, usually with the hair removed.
Clothing/Grooming:linen.N	916	A material made from the fibers of the flax plant.
Clothing/Grooming:lipstick.N	3093	Stick containing wax, oil, or pigments used to apply colour to one's lips.
Clothing/Grooming:loincloth.N	1965	A cloth worn to cover the loins.
Clothing/Grooming:loom.N	1787	A frame or machine (made of wood or other material) in which a weaver forms cloth out of thread; a machine for interweaving yarn or threads into a fabric.
Clothing/Grooming:mask.N	2005	A cover, or partial cover, for the face, used for disguise or protection.
Clothing/Grooming:mirror.N	1171	A smooth surface, usually made of glass with reflective material painted on the underside, that reflects light so as to give an image of what is in front of it.
Clothing/Grooming:moccasin.N	3607	A shoe with a soft sole made from animal skin or leather.
Clothing/Grooming:necklace.N	1961	An article of jewelry that is worn around the neck.
Clothing/Grooming:needle (for sewing).N	1382	A thin, sharp implement used in sewing, knitting and acupuncture.
Clothing/Grooming:ointment.N	1926	A semisolid preparation intended for external application to the skin or mucous membranes. (source: UMLS)
Clothing/Grooming:ornament.N	917	An element of decoration.
Clothing/Grooming:pacifier.N	3087	An artificial teat made of rubber, plastic, or silicone put into an infant's mouth to calm it.
Clothing/Grooming:pelt.N	3232	The hair-covered, dressed pelt of a mammal, used in the making of garments and as trimming or decoration.
Clothing/Grooming:penis sheath.N	2671	Sheath to cover a penis.
Clothing/Grooming:pin.N	64	A small device, made (usually) of drawn-out steel wire with one end sharpened and the other flattened or rounded into a head, used for fastening.
Clothing/Grooming:plait.N	333	A flat fold; a doubling, as of cloth; a pleat.
Clothing/Grooming:pocket.N	1851	A kind of pouch, which is accessible by an opening in an article of clothing and serves for storage; usually large enough in order to accommodate at least one hand.
Clothing/Grooming:poncho.N	327	A simple garment, made from a rectangle of cloth, with a slit in the middle for the head.
Clothing/Grooming:put on.V	158	To put clothes onto ones body to wear them.
Clothing/Grooming:quilt.V	2048	To stitch or sew together.
Clothing/Grooming:rag.N	332	A piece of old cloth; a tattered piece of cloth; a shred, a tatter.
Clothing/Grooming:raincoat.N	3712	A long jacket which is waterproof.
Clothing/Grooming:razor.N	151	A bladed tool used for the removal of body hair through the act of shaving.
Clothing/Grooming:ring.N	1374	A round piece of (precious) metal worn around the finger.
Clothing/Grooming:sarong.N	2413	A sarong or sarung is a large tube or length of fabric, often wrapped around the waist and worn by men and women throughout much of South Asia.
Clothing/Grooming:scarf or turban.N	3066	A garment, usually consisting of a long piece of cloth, wound around the head or neck or shoulders.
Clothing/Grooming:sew.V	1457	To pass thread repeatedly through fabric or a material, using a needle, in order to join two or more parts or to make a pattern or motif.
Clothing/Grooming:shave.V	231	To cut the hair close to the skin with a razor.
Clothing/Grooming:shawl.N	2771	A garment which is wrapped around the neck to prevent from cold.
Clothing/Grooming:shirt.N	1622	An article of clothing that is worn on the upper part of the body, and often has sleeves, either long or short, that cover the arms.
Clothing/Grooming:shoe.N	1381	A protective covering for the foot, with a bottom part composed of thick leather or plastic sole and often a thicker heel, and a softer upper part made of leather or synthetic material. Shoes generally do not extend above the ankle, as opposed to boots, which do.
Clothing/Grooming:shoemaker.N	875	A person whose profession is making and repairing footwear.
Clothing/Grooming:shower (action).V	3128	Douse oneself in a stream of water in order to clean oneself.
Clothing/Grooming:shuttle.N	543	Device used in weaving to carry the weft, moving continuously to-and-fro.
Clothing/Grooming:silk.N	1641	One of the finest textiles, obtained from cocoons of certain species of caterpillars; it is soft, very strong and absorbent and has a brilliant sheen.
Clothing/Grooming:skirt.N	1600	An article of clothing, usually worn by women and girls, that hangs from the waist and covers the lower part of the body.
Clothing/Grooming:sleeve.N	2953	Part of a garment covering the arm.
Clothing/Grooming:snowshoe.N	233	Footwear for walking over the snow.
Clothing/Grooming:soap.N	788	A cleansing agent, manufactured in bars, granules, flakes, or liquid form, made from a mixture of the sodium salts of various fatty acids of natural oils and fats.
Clothing/Grooming:sock.N	1522	A knitted or woven covering for the foot, reaching no higher than just above the ankle.
Clothing/Grooming:spin.V	121	To make (yarn) by drawing out, twisting, and winding fibers.
Clothing/Grooming:spindle.N	277	A stick used in spinning fiber into thread.
Clothing/Grooming:stocking.N	329	A soft garment worn on the foot and lower leg, usually knit or woven, worn under shoes or other footwear.
Clothing/Grooming:straw raincoat.N	3540	A traditional East Asian garment made out of straw, worn against the rain. In Japanese it's called mino.
Clothing/Grooming:straw sandal.N	2047	An open type of outdoor footwear leaving most of the upper part of the foot exposed, particularly the toes.
Clothing/Grooming:suit.V	764	(Of an object) To be of the right size and shape so as to match another object.
Clothing/Grooming:sunglasses.N	3100	Form of glasses with tinted lenses to protect one's eyes from sunlight.
Clothing/Grooming:tailor.N	881	Someone who professionally manufactures clothing.
Clothing/Grooming:take off one's clothes.V	2326	Take off one's clothes.
Clothing/Grooming:take off.V	3538	To take off a piece of clothing or similar.
Clothing/Grooming:tattoo.N	68	A marking made by inserting ink into the layers of skin to change the pigment permanently for decorative or other reasons.
Clothing/Grooming:thread.N	1161	A long, thin and flexible form of material, generally with a round cross-section, used in sewing, weaving or in the construction of string.
Clothing/Grooming:tie (noun).N	3711	A small band of fabric which is tied around the collar of a shirt.
Clothing/Grooming:towel.N	1021	Piece of absorbent fabric or paper used for drying or wiping.
Clothing/Grooming:trousers.N	809	An item of clothing worn on the lower part of the body and covering both legs separately.
Clothing/Grooming:umbrella.N	3105	Portable folding canopy used for protection against weather influences.
Clothing/Grooming:undress.V	1755	To take off all of one's clothes, or to take off a piece of clothing or similar.
Clothing/Grooming:veil.N	1151	A head covering.
Clothing/Grooming:vest.N	3140	A piece of clothing for the upper body without sleeves and usually worn over a shirt.
Clothing/Grooming:wear (on head).V	3428	Wear an object for shelter on the head.
Clothing/Grooming:wear.V	976	Fix clothes on your body and carry them.
Clothing/Grooming:weave.V	133	To create a fabric by interlacing threads.
Clothing/Grooming:wool.N	964	The soft, curly hair that forms the fleece of sheep, lamas and other animals and which is used to produce clothing.
Clothing/Grooming:wrapper.N	462	A colorful women's garment widely worn in West Africa.
Clothing/Grooming:wristband.N	3943	An article used as an adornment around the wrist
Clothing/Grooming:yarn.N	3445	Consists of multiple strings of natural or synthetic fibre twisted together in a continuous bulky thread; used in textile production.
Cognition:agreement.N	3644	The state of sharing the same feeling or opinion.
Cognition:attentive.A	1908	Giving attention.
Cognition:be ignorant.V	2651	Be in a state of not knowing something.
Cognition:because.?	1157	Conjunction initiating a causal phrase.
Cognition:believe.V	1890	To be confident about something.
Cognition:betray.V	1902	To harm someone or hurt their feelings by violating their trust or being disloyal to them.
Cognition:by heart.?	71	Completely and faithfully, refering to something that has been learnt and memorized.
Cognition:cause.N	860	That which brings about any condition or produces any effect.
Cognition:certain.A	509	Without any doubt or possibility of deviation.
Cognition:check.V	1975	To see if something is correct.
Cognition:clear.A	989	Free of ambiguity or doubt.
Cognition:clever.A	1310	Mentally agile.
Cognition:concept.N	3966	A particular object of thought formulated as an abstract or general idea.
Cognition:confused.A	3858	Being in a state of not exactly knowing or understanding what is happening; bewildered; perplexed.
Cognition:content.N	3967	In its physical sense, substance held by a recipient. In its cognitive sense, information or substance matter of a given subject.
Cognition:cunning.A	2335	To be smart and witty.
Cognition:deceive.V	3230	To trick someone by making them believe something that is not true or by acting in a dishonest way, usually in order to take advantage of it.
Cognition:decide.V	685	To reach, make, or come to a decision about something.
Cognition:detect.V	3895	To notice or recognize something that is not particularly obvious.
Cognition:difficult.A	584	Not easy, which needs hard work, patience and effort of either the physical or mental kind.
Cognition:doubt (something).V	3536	Be unsure about the truth or accuracy of a matter.
Cognition:doubt.N	1308	Uncertainty about the truth or accuracy of a matter.
Cognition:easy.A	686	Requiring little skill or effort; posing no difficulty.
Cognition:effect.N	3968	The manifestation of the particular influence of a given action on something.
Cognition:err.V	839	To make a mistake.
Cognition:experienced.A	2218	To have apprehended objects, thoughts, or emotions through senses and mind.
Cognition:explain.V	1626	To inform about the reason for something, how something works, or how to do something.
Cognition:few pieces.?	3451	More than one, but not as many as usual or as expected. (for countable nouns)
Cognition:find out.V	2237	To apprehend something involuntarily.
Cognition:foreign.A	109	Not belonging to that in which it is contained; introduced from an outside source.
Cognition:forget.V	1523	To lose memory of something.
Cognition:grow up.V	552	To mature and become an adult.
Cognition:guess.V	1932	To suppose, to estimate or to make a surmise.
Cognition:hesitate.V	3629	To hold back from saying or doing something because of doubt or uncertainty.
Cognition:how many pieces.?	3450	Which quantity? (for countable nouns)
Cognition:how many.?	822	Which quantity?
Cognition:how much.?	531	Which quantity? (for mass nouns)
Cognition:how.?	1239	In what way?
Cognition:idea.N	1609	A plan or notion that is formed and exists in the mind as a result of mental activity.
Cognition:identity.N	3960	A persisting state of being the same for an entity or someone, from an objective or a subjective standpoint. Commonly referring to an individual's self-sense of being as a distinct person.
Cognition:if.?	1459	[The introduction of a condition or decision.]
Cognition:ignore.V	41	To be ignorant of or in the dark about.
Cognition:imagine.V	3879	To form a mental image of (something not present).
Cognition:imitate.V	117	To follow as a model or a pattern.
Cognition:induce.V	61	To encourage into action; to cause to act in a specified manner.
Cognition:intend.V	22	To assign for a specific end, use, or purpose; to design or destine.
Cognition:intention.N	1162	An anticipated outcome that is intended to obtain or that guides your planned actions.
Cognition:investigate.V	2010	To look into carefully in order to uncover (find) facts or information.
Cognition:kind (thing).N	844	A category of things distinguished by a common characteristic or quality.
Cognition:know (somebody).V	2248	To have met and recognize somebody.
Cognition:know (something).V	1410	To be sure about something or be acquainted with something.
Cognition:know how.V	2238	To be able to do something which requires or could require that one would learn it before.
Cognition:know.V	3626	To have met and recognize somebody or to be certain or sure about something.
Cognition:knowledge.N	3874	The fact or state of knowing something or being familiar with a certain type of technique.
Cognition:learn.V	504	To acquire, or attempt to acquire knowledge or an ability to do something.
Cognition:mad.A	1899	Mentally ill.
Cognition:main.?	1078	The most important element.
Cognition:manner.N	488	Way of performing or effecting anything.
Cognition:many pieces.?	3453	An indefinite large number of. (for countable nouns)
Cognition:memory.N	1018	The ability of an organism to record information combined with the facility of recall.
Cognition:mind.N	1562	The ability for rational thought.
Cognition:much.?	3452	An indefinite large number of. (for mass nouns)
Cognition:necessary.?	1030	Needed for a purpose or a reason.
Cognition:necessity.N	422	Something that needs to be done.
Cognition:need (noun).N	643	The fact or an instance of feeling the lack of something.
Cognition:need (something).?	2339	Feeling the desire or the urge for something.
Cognition:obscure.A	1764	Known vaguely or incompletely, if at all.
Cognition:obstinate.A	1842	Persisting in a reactionary stand.
Cognition:plan.N	3630	A method or a set of arrangements, needed to achieve a specific goal.
Cognition:pretend.V	3631	To behave in such a way that makes someone believe something that is not true.
Cognition:pupil (student).N	753	A student under the supervision of a teacher or professor.
Cognition:relationship.N	3959	The way in which two elements or individuals are connected, usually in a social or affective sense.
Cognition:remember.V	707	To recall from memory.
Cognition:result in.V	1723	Having a specific result, a logical consequence.
Cognition:school.N	673	An institution or building at which children and young people receive education.
Cognition:secret.A	1121	Being or kept hidden from public perception.
Cognition:seem.V	1521	To have a given outward appearance.
Cognition:smart.A	2530	To be of high intelligence.
Cognition:strange.A	600	Out of the ordinary.
Cognition:study.V	1929	To follow a course of study; to be enrolled at an institute of learning.
Cognition:stupid.A	1518	Lacking in intelligence.
Cognition:succeed.V	1112	To attain a desired goal.
Cognition:suspect.V	1841	To assume something to be true without direct evidence.
Cognition:suspicion.N	3197	An assumption without direct evidence.
Cognition:system.N	3957	A set of connected elements that form a whole by virtue of their interrelatedness and function.
Cognition:teach.V	709	To pass on knowledge and skills.
Cognition:teacher.N	1038	A person who passes on knowledge, especially one employed in a school.
Cognition:think (believe).V	1513	To have as opinion, belief, or idea.
Cognition:think (reflect).V	1415	To actively and consciously use one's mental powers, usually to form ideas.
Cognition:think.V	2271	Use ones mental power to form ideas or having used ones mental power to form ideas of conviction or belief.
Cognition:thought.N	2975	Thought refers to ideas or arrangements of ideas that are the result of the process of thinking.
Cognition:try.V	1812	To attempt to do something.
Cognition:understand.V	1536	To be aware of the meaning of.
Cognition:what.?	1236	Which thing.
Cognition:when.?	1238	At what time?
Cognition:where.?	1237	At what place?
Cognition:which.?	727	What one or ones (of those mentioned or implied).
Cognition:who or what.?	2147	What person or which thing.
Cognition:who.?	1235	What person or people; which person or people.
Cognition:why.?	1270	For what reason.
Cognition:wise.A	698	Showing good judgement or the benefit of experience.
Cognition:yes.?	1268	A word used to show agreement or affirmation of something.
Combat:army.N	1561	A large, military force concerned mainly with ground operations.
Combat:attack.N	722	The application of violent force to someone or something.
Combat:attacking.V	3899	To use violence with the intention to harm.
Combat:battle.N	579	An instance of combat in warfare between two or more parties wherein each group will seek to defeat the others.
Combat:be at war.V	2208	To be in the state of belligerence.
Combat:booty.N	1022	Profits from burglary, looting and raids.
Combat:box (somebody or something).V	3108	The act of using fists to fight or hit.
Combat:captive.N	1073	A person held against his will.
Combat:defeat.N	782	An end to a struggle or contest that did not end in success.
Combat:defend.V	1330	To keep something or someone safe or prevent harm coming to someone or something.
Combat:fight (combat).N	3880	A hostile encounter, such as a battle or combat.
Combat:fight.V	1423	To be involved in a physical confrontation.
Combat:flank.N	529	The extreme left or right edge of a military formation, army etc.
Combat:fortress.N	1938	A fortified place; a large and permanent fortification, sometimes including a town.
Combat:guard.N	1940	A person who protects or watches over something.
Combat:harness (armour).N	2552	A specific suit that protects people who fight.
Combat:helmet.N	1680	Any of various forms of protective head covering worn e.g.  by soldiers, firefighters, divers, cyclists, etc.
Combat:peace.N	1338	A state free of war, in particular war between different countries.
Combat:retreat.V	421	To retreat unwillingly and/or suddenly, often caused by sudden pain, shock, scare, fright, surprise, or similar.
Combat:soldier.N	1941	A person who is actively engaged in battle, conflict or warfare.
Combat:strike (someone).V	3308	To intentionally hit someone with a sharp blow or to impel, usually with a hand or weapon.
Combat:surrender.V	1696	To give up to the enemy.
Combat:torture.V	1952	To intentionally inflict physical or mental suffering upon a person or an animal in order to punish, to coerce or for sheer cruelty.
Combat:victory.N	783	An end to a struggle or contest that did end in success.
Combat:war.N	935	A conflict or a state of hostility between two or more parties, nations or states, in which armed forces or military operations are used.
Combat:warrior.N	3608	A person trained in combat or warfare.
Combat:waste.V	79	To cause extensive destruction or ruin utterly.
Element:Ag.N	759	A very ductile malleable brilliant greyish-white element with symbol Ar and atomic number 47 having the highest electrical and thermal conductivity of any metal.
Element:Al.N	3385	A metallic chemical element of silver-white colour that occurs mainly in bauxite, with assigned symbol Al and proton number 13.
Element:Au.N	1369	A heavy yellow elemental metal of great value, with atomic number 79 and symbol Au.
Element:bronze.N	2313	An alloy consisting primarily of copper and the addition of other metals (usually tin) and sometimes arsenic, phosphorus, aluminium, manganese, and silicon.
Element:Cu.N	1825	Chemical element with symbol Cu and atomic number 29; one of the most important nonferrous metals; a ductile and malleable metal found in various ores and used in industry, engineering, and the arts in both pure and alloyed form.
Element:Cu/bronze.N	3192	Chemical element with symbol Cu and atomic number 29 or an alloy made from it.
Element:Fe.N	621	A malleable ductile silvery-white ferromagnetic metallic element with symbol Fe and atomic number 26, occurring principally in haematite and magnetite. It is widely used for structural and engineering purposes.
Element:Pb.N	627	A heavy toxic bluish-white metallic element with symbol Pb and atomic number 82 that is highly malleable; occurs principally as galena and is used in alloys, accumulators, cable sheaths, paints, and as a radiation shield.
Element:S.N	3386	A crystalline solid, nonmetallic chemical element of a distinct yellow colour, with assigned symbol S and proton number 16.
Element:Sn.N	893	A metallic element with symbol Sn, occurring in cassiterite. It is a malleable silvery-white metal.
Element:steel.N	2343	Alloys of iron and carbon, widely used in construction and other applications because of their high tensile strengths and low costs.
Emotion:amazing.A	1863	Causing great surprise or sudden wonder.
Emotion:amusement.N	3850	A feeling caused by doing or watching something entertaining or funny.
Emotion:anger.N	82	Belligerence aroused by a real or supposed wrong (personified as one of the deadly sins).
Emotion:angry.A	1826	Irritated, in a temper, feeling or displaying anger.
Emotion:anxiety.N	1000	An unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath.
Emotion:anxious.A	3869	To feel uneasiness of mind caused by anxiety.
Emotion:ashamed.A	1894	Feeling shame or guilt.
Emotion:astonished.A	1900	Filled with the emotional impact of overwhelming surprise or shock.
Emotion:awe.N	3851	A feeling of deep respect mixed with slight fear or wonder.
Emotion:bad luck.N	56	An undesirable event such as an accident.
Emotion:bad or evil.A	3764	Not good; unfavorable; negative, or intending to harm or being/acting ethically wrong.
Emotion:bad.A	1292	Not good; unfavorable; negative.
Emotion:be angry.V	2223	Be in an angry state.
Emotion:beautiful.A	1427	Having nice or positive properties (specifically with regard to the senses, and most commonly, that of sight).
Emotion:become angry.V	2215	To turn into an angry mental state.
Emotion:blame (somebody).V	2716	To hold somebody responsible for something.
Emotion:blame.N	381	Accusation for something negative or undesirable.
Emotion:boring.A	905	Causing boredom.
Emotion:bother (harass).V	2869	To annoy persistently.
Emotion:brave.A	3	Having or characterized by courage.
Emotion:carp.V	2193	To complain or find fault in a petty or disagreeable way.
Emotion:choose.V	1750	To make a choice from a number of alternatives.
Emotion:commend.V	3455	To express approval or admiration.
Emotion:concentration.N	3852	The ability to direct all the attention to one thing or activity.
Emotion:confusion.N	3853	A feeling of uncertainty about what to do or what is happening.
Emotion:contempt.N	3844	A feeling of ultimate disgust and a complete lack of respect towards somebody.
Emotion:contemptible.A	1	Deserving of contempt or scorn.
Emotion:correct (right).A	1725	To be in accordance with expectations.
Emotion:courage.N	3049	A state or quality of mind that enables to face danger and fear; bravery.
Emotion:coward.N	1319	A person who lacks courage.
Emotion:cowardly.A	3812	Not being brave or courageous; an attribute describing someone who is easily frightened or disheartened in the face of difficulty or danger.
Emotion:cruel.A	500	Indifference towards the suffering of another and even deriving a positive feeling from it.
Emotion:cry.V	1839	To shed tears due to the impact of an emotion.
Emotion:cunning person.N	2079	A smart and witty person.
Emotion:curious.A	3633	Having a strong desire to learn about things and people around.
Emotion:danger.N	1810	A situation that constitutes an immediate risk for injury on a person or property.
Emotion:dangerous.A	3466	Capable of injuring or harming someone.
Emotion:dare.V	1779	To have enough courage (to do something).
Emotion:dear.A	2470	Beloved or loved.
Emotion:deceit.N	13	The act or practice of deceiving.
Emotion:delight.V	1271	To give pleasure to; to make happy or satisfied.
Emotion:depressed.A	3973	A mental state of despondency, unhappinness, or hopelessness.
Emotion:depression.N	3877	A state of feeling sad that can become a chronic illness.
Emotion:desire.V	2117	To want to do something, to wish for something to happen, or to have affection for someone.
Emotion:diligent.A	2077	Being busy-working.
Emotion:disappointment.N	3845	A feeling of sadness because something did not happen the way it was expected or did not happen at all.
Emotion:discipline.N	3962	The ability and training of self-control and diligence, usually in abiding by a set of rules.
Emotion:disgust.N	2465	The feeling that one gets when seeing something rotten.
Emotion:disgusting.A	2507	Creating disgust in somebody.
Emotion:disobedient.A	3813	Refusing to obey what someone in authority is requesting.
Emotion:disturb.V	2883	Interfere with somebody.
Emotion:dreadful.A	528	Causing dread; very bad.
Emotion:embrace.V	928	To squeeze someone in one's arms.
Emotion:emotional.A	3761	Having any strong feeling, as of joy, sorrow, or fear.
Emotion:envy.N	40	A feeling of discontent or covetousness with regard to another's advantages, success, possessions, etc.
Emotion:evil.A	45	Intending to harm or being/acting ethically wrong.
Emotion:exact.A	1466	Without diversion from the desired or agreed specification; neither exceeding nor failling short in any way.
Emotion:excited.A	3972	Arousal or a feeling of enthusiasm about something.
Emotion:excitement.N	3846	A feeling of extreme but short-term happiness.
Emotion:faithful.A	100	Steadfast in affection.
Emotion:false.A	3069	Not concurring with a given set of facts; fake; unreal.
Emotion:familiar.A	3005	Knowing somebody or something well.
Emotion:fault.N	134	Responsibility for a wrong act done deliberately or a good act omitted deliberately.
Emotion:fear (be afraid).V	1419	To be scared of; to have an uncontrollable emotion of anxiety about something that causes a scared reaction or frightening impression.
Emotion:fear (fright).N	781	An emotion experienced in anticipation of some specific pain or danger.
Emotion:fear or frighten.V	2109	To be scared or to scare someone.
Emotion:flirt.V	494	To talk or behave amorously, without serious intentions.
Emotion:forgive.V	1528	To stop blaming someone for an offense.
Emotion:generous.A	3632	Willing to give more than expected, especially money.
Emotion:gentle.A	1954	Tender and amiable; of a considerate or kindly disposition.
Emotion:gloomy.A	1552	A bit sad.
Emotion:good luck.N	720	Something positive that happens to someone by chance.
Emotion:good.A	1035	Having desired or positive qualities.
Emotion:greedy.A	2018	Excessively desirous of money, wealth or possessions.
Emotion:grief.N	1668	Mental suffering or pain caused by injury, loss, or despair.
Emotion:grieve.V	1955	To express deep sorrow for.
Emotion:groan.V	716	To utter a low, guttural sound of frustration.
Emotion:handsome.A	3814	Used to describe a person that is attractive and pleasing in appearance.
Emotion:happiness.N	2941	In philosophy, happiness translates the Greek concept of eudaimonia, and refers to the good life, or flourishing, rather than simply an emotion.
Emotion:happy.A	1495	Having a feeling of satisfaction, enjoyment or well-being, often arising from a positive situation or set of circumstances.
Emotion:hate (loathing).N	3749	A strong feeling of dislike for something or somebody.
Emotion:hate.V	1607	To dislike intensely; to feel strong hostility towards.
Emotion:honest.A	1120	Not disposed to cheat or defraud.
Emotion:hope (faith).N	3211	The belief in the possibility that something one wants will happen.
Emotion:hope (something).V	3212	To want something to happen.
Emotion:hope.V	1092	To want something to happen or the belief in the possibility that something one wants will happen.
Emotion:hostility.N	3955	An aversion, feeling of rivalry, or aggressiveness experienced by an individual or group towards another.
Emotion:impatient.A	3885	Becoming irritable in difficult situations or during long waiting times.
Emotion:important.A	1285	Having relevant and crucial value.
Emotion:inclination.N	918	A likelihood of behaving in a particular way or going in a particular direction.
Emotion:insolent.A	91	Unrestrained by convention or propriety.
Emotion:interest (feeling).N	3847	A desire to learn about something or somebody.
Emotion:jealous.A	2821	Feeling insecure over an anticipated loss of status or affection in a human connection.
Emotion:jealousy.N	2016	A jealous feeling, disposition, state, or mood.
Emotion:joy.N	2524	Mental happiness.
Emotion:keen.A	39	Full of or characterized by enthusiasm.
Emotion:kind or polite.A	583	Being nice and giving off the impression of benevolence or keeping to a given society's standards of social manners in order to show respect.
Emotion:kind.A	3299	Being nice and giving off the impression of benevolence.
Emotion:kindness.N	3468	The quality of being caring, generous and helpful towards other people.
Emotion:kiss (noun).N	3454	The action of touching with the lips to express love or affection.
Emotion:kiss.V	578	To touch with the lips to express love or affection.
Emotion:laugh.V	1355	To express pleasure, mirth or derision by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat.
Emotion:laughter.N	2958	Laughter is a physical reaction in humans and some other species of primate, consisting typically of rhythmical, often audible contractions of the diaphragm and other parts of the respiratory system.
Emotion:lie (falsehood).N	2826	Intentionally false statement for the purpose of deception.
Emotion:lie (mislead).V	601	To knowingly say something that is untrue.
Emotion:like.V	1117	To enjoy, be in favor/favour of.
Emotion:location of emotions.N	2198	The place where emotions are thought to be stored.
Emotion:long (for something).V	3473	To have a very strong desire for something.
Emotion:longing (wish).N	2960	The strong desire for something.
Emotion:love (affection).N	3834	A feeling of affection and fondness for someone.
Emotion:love.V	923	To have an intense feeling of affection and care towards another person.
Emotion:lovely.A	2233	Beautiful especially in a pleasing or charming way.
Emotion:make angry (annoy).V	2892	To cause somebody to be annoyed.
Emotion:merry.A	1976	In good spirits.
Emotion:mighty or powerful or strong.A	3188	Holding much (political, social, ...) power or being done using a huge amount of energy or having great physical strength.
Emotion:misery.N	2553	The state of being poor or emotionally suffering.
Emotion:mistake.N	1293	A mistake, an oversight, a slight; usually apologetic, referring to one's own failures.
Emotion:mourning.N	3673	The feeling of great sadness because someone has died.
Emotion:move (affect emotionally).V	2873	To affect somebody emotionally.
Emotion:nervous.A	3975	A mental state of nervousness or agitation. Also, being easily excited or irritated.
Emotion:obligation (duty).N	3471	Either a moral or legal responsibility to accomplish a certain task.
Emotion:on purpose.?	1031	(Doing or feeling something) in a deliberate or controlled way.
Emotion:pain.N	1783	An unpleasant, usually localised physical sensation that is often the result of an injury, disease or other ailment.
Emotion:painful or sick.A	2103	To cause pain or to be ill.
Emotion:passionate.A	1880	Characterized by intense emotion.
Emotion:patient.A	3884	Enduring difficult situations or a long waiting time with an even temper.
Emotion:pity.N	1141	Deep awareness of the suffering of another, coupled with the wish to relieve it.
Emotion:play.V	1413	To act in a manner such that one has fun; to engage in playful activities expressly for the purpose of recreation.
Emotion:pleasure.N	3916	An emotional state of sensual gratification or frivolous amusement.
Emotion:polite.A	3300	Keeping to a given society's standards of social manners in order to show respect.
Emotion:praise.N	1687	The act of expressing approval or admiration; commendation; laudation.
Emotion:precious.A	3002	Being dear or important to somebody.
Emotion:pride.N	3915	An emotional state of being proud.
Emotion:proud.A	174	Feeling greatly pleased, or satisfied by something or someone that is highly honorable or creditable to oneself.
Emotion:reason.N	2968	Reason is the capacity for consciously making sense of things, applying logic, establishing and verifying facts, and changing or justifying practices, institutions, and beliefs based on new or existing information.
Emotion:regret.V	1875	To wish that a past event had not happened.
Emotion:rejoice.V	2192	To feel joyful; be delighted.
Emotion:respect (noun).N	1912	An attitude of admiration or esteem.
Emotion:respect (somebody).V	385	To have respect for someone or something; to have regard for something, to observe a custom, practice, rule or right.
Emotion:revenge.V	495	To take revenge for a perceived wrong.
Emotion:riddle.N	2970	A riddle is a statement or question or phrase having a double or veiled meaning, put forth as a puzzle to be solved.
Emotion:rude.A	1412	Bad mannered.
Emotion:sad.A	699	Feeling mentally uncomfortable because something is missing or wrong.
Emotion:sadness.N	3854	A feeling of being unhappy because something is missing or wrong.
Emotion:safe.A	3762	Having a feeling of security or protection from harm.
Emotion:scared.A	3033	Property of being scared of something or someone, having an uncontrollable emotion of anxiety.
Emotion:shame.N	1776	The consciousness or awareness of dishonor, disgrace, or condemnation.
Emotion:shy or ashamed.A	3805	The feeling of being uncomfortable with attracting attention or feeling shame or guilt.
Emotion:shy.A	487	(For a personality) characterized by being uncomfortable with having attention drawn to them, for example when introducing oneself or when speaking in front of an audience.
