id	Concepticon id	Definition
Action:quickly.A	3365	To carry out an action in a quick manner.
Action:recommend.V	2759	To suggest something or somebody.
Action:rest or sleep.V	2116	Lie down or sleep.
Action:result.N	3969	The final outcome or consequence of a causal chain, operation or set of circumstances.
Action:rot.V	2907	To be exposed to decomposition.
Action:rub.V	1449	To move one's hand or an object over a surface or other object (maintaining constant contact and applying moderate pressure).
Action:run away.V	2142	Leave a dangerous situation by moving one's body away from it.
Action:scatter.V	3705	To throw or drop things in different directions so that they cover a large area.
Action:seat (somebody).V	2878	To cause somebody to sit (e.g. by offering a seat).
Action:skilled.A	807	Experienced and clever, professional.
Action:slap.V	3160	Hit with the open palm of the hand.
Action:sleep (state).N	2972	Sleep is a naturally recurring state of mind and body characterized by altered consciousness, relatively inhibited sensory activity, inhibition of nearly all voluntary muscles, and reduced interactions with surroundings.
Action:smear.V	364	To spread (a substance) across a surface by rubbing.
Action:smoke (emit smoke).V	2859	To emit smoke (such as something which burns).
Action:snap (of stick).V	459	Quick breaking or cracking sound or the action of producing such a sound.
Action:split open.V	3080	To open something with a cut or incision, revealing its inside.
Action:split.V	1437	To divide fully or partly along a more or less straight line.
Action:spread out.V	38	To spread out or open from a closed or folded state.
Action:squeeze.V	1414	To apply pressure to something from two or more sides at once.
Action:stop doing.V	3351	To stop doing the action one was doing.
Action:stretch.V	214	To lengthen by pulling.
Action:strike (something).V	3309	To intentionally hit something with a sharp blow or to impel, usually with a hand.
Action:strike or beat.V	2133	To hit or strike, either repeatedly or a single time.
Action:strike.V	353	To intentionally hit with a sharp blow or to impel, usually with a hand or weapon.
Action:swell.V	1573	To grow larger in volume.
Action:tear (shred).V	1735	To pull at something in such a way that it ends up divided.
Action:thaw (dew).V	2887	Go from a frozen to a liquid state.
Action:tight.A	3053	Being not loose.
Action:try (test).V	2571	To put something to trial, to test whether something works as expected.
Action:tug.V	2029	A great force, applied in order that an object will move towards the origin of the force that was applied to it.
Action:tumble (fall down).V	2894	To fall down accidentally.
Action:turn over.V	3537	To change the direction one is facing while lying in bed, on the floor, or similar.
Action:twinkle.V	2889	Shine with flickering light.
Action:uncover.V	1108	To uncover; to show and display that which was hidden.
Action:walk (manner).N	2979	The act of walking, the way one walks.
Action:walk (take a walk).V	2890	To wander around.
Action:warm up.V	2032	To make warm or warmer.
Action:wash (clothes).V	3434	To clean pieces of clothing by using water and supplementary cleansing products as a part of hygiene routine.
Action:wash (oneself).V	3371	To cleanse one's body in/with water.
Action:wash.V	1453	To remove dirt and grime from an object, using water (usually with soap).
Action:watch.V	1650	To have one's eyes, one's attention on something or someone.
Action:wave (verb).V	3544	To move one's hand or arm in a waving motion, with or without holding something like a flag.
Action:work (activity).V	1086	To do a specific task by employing physical or mental powers.
Action:work (labour).N	984	Productive activity, service, trade, or craft for which one is regularly paid.
Action:working or work.?	2281	The process by which one produces something (sometimes also in exchange for money).
Action:wring.V	3224	To take a cloth and twist its ends into different directions in order to dry it.
Action/Technology:hardly.?	2926	Barely perceivable or noticeable.
Action/Technology:intact.A	220	That has not been impaired or altered; lacking nothing essential, especially not damaged.
Action/Technology:iron or metal.N	3324	A generic way of referring to either the ore or the finished product.
Action/Technology:leather or hide.N	3326	A generic way of referring to either cured or uncured animal hides.
Action/Technology:news.N	2964	News is information about current events.
Action/Technology:pearl.N	3325	A small hard shiny ball formed in mussels or oysters.
Action/Technology:powerful.A	3001	Being done using a huge amount of energy.
Action/Technology:rustle (of leaves).V	2877	A sound emitted by leaves moving in the trees.
Action/Technology:snowman.N	3098	A mass of snow sculptured into the shape of a human.
Action/Technology:sound (of instrument or voice).V	2879	The noise emitted by musical instruments or humans speaking.
Action/Technology:tinplate.N	358	A thin sheet of steel coated with tin to prevent rusting; used to make cans etc.
Agriculture:burn land.V	3539	Clear an area with fire.
Agriculture:corn field.N	449	A field in which corn is grown.
Agriculture:crops.N	3081	The output of plants cultivated that is grown on a large scale.
Agriculture:cultivate.V	1541	To prepare an area by tilling, planting seeds etc. in order to grow plants.
Agriculture:dibble stick.N	3155	A piece of wood with a point used for making holes in the ground for seeds, seedlings or small bulbs.
Agriculture:dig.V	1418	To move earth, rocks, etc. out of the way, usually to create a hole.
Agriculture:digging stick.N	339	A rod shaped implement used by the aboriginal people of Australia to dig yam and as a combat weapon.
Agriculture:ditch.N	2002	A long, narrow excavation artificially dug in the ground; especially an open and usually unpaved waterway, channel, or trench for conveying water for drainage or irrigation, and usually smaller than a canal. Some ditches may be natural watercourses.
Agriculture:famine.N	199	A severe shortage of food, as through crop failure or over population. It may be due to poor harvests following drought, floods, earthquake, war, social conflict, etc.
Agriculture:farm.N	201	Any tract of land or building used for agricultural purposes, such as for raising crops and livestock.
Agriculture:farmer.N	979	A person who works the land or who keeps livestock, especially on a farm.
Agriculture:fell (a tree).V	463	To cut down a tree.
Agriculture:fence.N	1690	Delimitation for an area.
Agriculture:field (upland).N	2794	A dry field rather than a flooded paddy field.
Agriculture:field.N	212	A limited area of land with grass or crops growing on it, which is usually surrounded by fences or closely planted bushes when it is part of a farm.
Agriculture:furrow.N	1794	The cut made in a field by a plough.
Agriculture:garden.N	586	A piece of land next to a house where flowers and other plants are grown and which often has an area of grass.
Agriculture:granary.N	3657	A building for storing threshed grain.
Agriculture:grassland.N	2819	Areas where the vegetation is dominated by grasses.
Agriculture:grow plants.V	3461	To cultivate a specific type of plant in order to harvest it.
Agriculture:harrow (tool).N	2545	An agricultural implement consisting of many spikes, tines or discs dragged across the soil.
Agriculture:harvest crops.V	1827	To gather the ripened crop.
Agriculture:harvest or harvest season.N	3541	The crop gathered in a season and the time during which crops are typically harvested.
Agriculture:harvest.N	611	The crop gathered in a season.
Agriculture:hay.N	342	Cut and dried grass for use as animal fodder.
Agriculture:herd.V	2885	Keep or move animals together.
Agriculture:hoe.N	284	A tool with handle and blade with two or more prongs used for weeding, raking, etc.
Agriculture:irrigate.V	3078	To supply with water; to water.
Agriculture:lasso.N	340	A long rope with a sliding loop on one end, generally used in ranching to catch cattle and horses.
Agriculture:mow.V	190	To cut all the grass, crop or any thin plants of a surface area of the ground.
Agriculture:paddy field.N	140	A flooded field where rice is grown.
Agriculture:paddy.N	283	Wet land in which rice is grown.
Agriculture:pick.V	2148	To take off the fruits or other useful parts of a plant.
Agriculture:pipe.N	1124	A device consisting of a mouthpiece, a long pipe stem and a pipe bowl, that is used to smoke tobacco.
Agriculture:pitchfork.N	337	An agricultural tool comprising a fork attached to a long handle used for pitching hay or bales of hay high up onto a haystack.
Agriculture:plant (something).V	1486	To put a plant in the ground so that it strikes root and grows.
Agriculture:plough (instrument).N	2154	An agricultural device pulled through the ground in order to break it open into furrows for planting.
Agriculture:plough.V	1921	To use a plough on to prepare for planting.
Agriculture:pull off (skin).V	291	To strip or pull off the skin or hide of.
Agriculture:pull up (rice seedlings).V	2066	To pull out rice seedlings from the soil including their roots in order to separate seedlings growing too closely
Agriculture:pull up weeds.V	3548	To remove weeds from e.g. a field.
Agriculture:put out to pasture.V	2031	To put livestock into a field or pasture or meadow to graze.
Agriculture:rake.N	338	A garden tool with a row of pointed teeth fixed to a long handle, used for collecting grass or debris, or for loosening soil.
Agriculture:rice flour.N	3285	A flour made from finely milled rice, distinct from rice starch which is produced by steeping rice in lye; rice powder.
Agriculture:rice husk.N	2501	The husk of rice seeds.
Agriculture:rice seedling.N	3767	The seedling of a rice plant.
Agriculture:rice straw.N	3391	The dry stalks of the rice plant.
Agriculture:rice.N	926	Seeds of the rice plant (Oryza sativa) used as food.
Agriculture:ripe coconut.N	3035	A ripe (i.e., mature) oval nut with a fibrous husk of the cocos palm, used as source of coconut meat.
Agriculture:scatter (seeds).V	2064	To distribute seeds over a field.
Agriculture:scythe.N	20	A farm tool consisting of a long bent blade attached to a shaft, that is designed for cutting straws of grass or grain from an upright position.
Agriculture:shepherd.N	2544	The person that watches over sheep.
Agriculture:shovel.N	1901	A tool consisting of a stick (usually out of wood) and a bigger, slightly humped surface (usually out of metal), which is used to move material such as earth, snow, grain, etc. from one place to another.
Agriculture:sickle or scythe.N	2132	Any portable tool that is used to cut grass or cereal crops in agriculture.
Agriculture:sickle.N	341	An implement, having a semicircular blade and short handle, used for cutting long grass and cereal crops in agriculture.
Agriculture:slaughter.V	1796	To kill animals for food.
Agriculture:smoke (inhale).V	1689	To inhale smoke from for example a cigarette or a cigar.
Agriculture:sow seeds.V	748	To scatter or disperse seeds on a field.
Agriculture:spade.N	1176	Tool having a flat and sharp metal tip and a wooden handle used to break, dig and move the earth.
Agriculture:spike.N	1249	The fruiting body of a grain plant.
Agriculture:stump of tree.N	1023	The short piece left over after cutting off the most part.
Agriculture:swidden field.N	429	A piece of land cleared for farming by burning away vegetation.
Agriculture:thresh.V	285	Separating the grain from the straw or husks by beating.
Agriculture:threshing-floor.N	223	Dry flat area where the grain is separated from the straw or husks by beating.
Agriculture:till.V	3273	Prepare land for cultivation by work such as ploughing, harrowing, and manuring.
Agriculture:unhusked rice.N	2749	The unhusked crops of the rice plant.
Agriculture:weed.N	3288	A plant that grows wild and profusely, especially when considered undesirable for agriculture.
Agriculture:windmill.N	3841	A large structure or building with long revolving blades or sails that is used for converting wind energy in order to produce electricity or to directly power an attached mechanical construction for grinding.
Agriculture:winnowing.V	2462	Wind winnowing is an agricultural method developed by ancient cultures for separating grain from chaff.
Animalia:agouti.N	313	A rodent similar in appearance to a guinea pig but having longer legs.
Animalia:albatross.N	3796	Any seabird of the family Diomedeidae. Some species are among the largest flying birds in the world.
Animalia:alligator.N	1581	A reptile belonging to the subfamily Alligatorinae in the family Alligatoridae in the order Crocodylia.
Animalia:american black bear.N	3611	A member of the Urisdae family (Ursus americanus) native to North America.
Animalia:anaconda (water boa).N	896	Any of various large non-venomous snakes of the genus Eunectes, found mainly in northern South America.
Animalia:animal.N	619	Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.
Animalia:ant.N	587	Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.
Animalia:anteater.N	181	A mammal of the suborder Vermilingua having elongated snouts and feeding on ants and termites.
Animalia:antelope.N	3674	Any of even-toed deer-like mammals of the family Bovidae, indigenous to various parts of Africa and Eurasia.
Animalia:anthill.N	1873	A mound of earth made by ants as they dig their nest.
Animalia:ape or monkey.N	3298	Any of the species of Simiiformes, including Hominoidea (but typically excluding humans).
