id	Concepticon_id
Quantity:304.NUM	3789
Quantity:31.NUM	3480
Quantity:32.NUM	3481
Quantity:33.NUM	3482
Quantity:34.NUM	3483
Quantity:35.NUM	3484
Quantity:36.NUM	3485
Quantity:37.NUM	3486
Quantity:38.NUM	3487
Quantity:39.NUM	3488
Quantity:399.NUM	3514
Quantity:4.NUM	1716
Quantity:4.NUM	1500
Quantity:400.NUM	3515
Quantity:4000.NUM	3526
Quantity:41.NUM	3556
Quantity:42.NUM	3557
Quantity:43.NUM	3489
Quantity:44.NUM	3490
Quantity:45.NUM	3491
Quantity:46.NUM	3558
Quantity:46656.NUM	3531
Quantity:47.NUM	3559
Quantity:48.NUM	3492
Quantity:49.NUM	3560
Quantity:5.NUM	493
Quantity:50.NUM	1717
Quantity:500.NUM	3516
Quantity:5000.NUM	3527
Quantity:51.NUM	3561
Quantity:52.NUM	3562
Quantity:53.NUM	3493
Quantity:54.NUM	3563
Quantity:55.NUM	3494
Quantity:56.NUM	3564
Quantity:57.NUM	3565
Quantity:58.NUM	3566
Quantity:59.NUM	3567
Quantity:6.NUM	1703
Quantity:60.NUM	1718
Quantity:600.NUM	3517
Quantity:6000.NUM	3792
Quantity:61.NUM	3568
Quantity:62.NUM	3569
Quantity:63.NUM	3495
Quantity:64.NUM	3570
Quantity:65.NUM	3571
Quantity:66.NUM	3572
Quantity:67.NUM	3573
Quantity:68.NUM	3574
Quantity:69.NUM	3575
Quantity:7.NUM	1704
Quantity:70.NUM	1721
Quantity:700.NUM	3518
Quantity:7000.NUM	3528
Quantity:71.NUM	3576
Quantity:72.NUM	3496
Quantity:73.NUM	3497
Quantity:74.NUM	3577
Quantity:75.NUM	3578
Quantity:76.NUM	3579
Quantity:77.NUM	3580
Quantity:7776.NUM	3529
Quantity:78.NUM	3581
Quantity:79.NUM	3582
Quantity:8.NUM	1705
Quantity:80.NUM	1722
Quantity:800.NUM	3519
Quantity:8000.NUM	3793
Quantity:81.NUM	3583
Quantity:82.NUM	3584
Quantity:83.NUM	3498
Quantity:84.NUM	3585
Quantity:85.NUM	3586
Quantity:86.NUM	3587
Quantity:87.NUM	3588
Quantity:88.NUM	3589
Quantity:89.NUM	3590
Quantity:9.NUM	1483
Quantity:9.NUM	1724
Quantity:900.NUM	3520
Quantity:9000.NUM	3530
Quantity:91.NUM	3499
Quantity:92.NUM	3591
Quantity:93.NUM	3592
Quantity:94.NUM	3593
Quantity:95.NUM	3594
Quantity:96.NUM	3500
Quantity:97.NUM	3595
Quantity:98.NUM	3596
Quantity:99.NUM	3501
Quantity:999.NUM	3521
