id	style	word
Building:ridgepole.N		распорка
Building:roof.N		крыша
Building:room.N		комната
Building:tent.N		палатка
Building:thatch.N		соломенная крыша
Building:tower.N		башня
Building:wall.N		стена
Building:window.N		окно
Building:yard.N		двор
Cleaning:broom.N		метла, веник
Cleaning:clean.A		чистый
Cleaning:dirty.A		грязный
Cleaning:sweep.V		мести
Cleaning:wash.V		мыть
Cleaning:wipe.V		стереть
Clothing:Gossypium.N		хлопок (хлопчатобумажная ткань)
Clothing:awl.N		шило
Clothing:bead.N		бусина
Clothing:belt.N		ремень
Clothing:boot.N		сапог
Clothing:braid.N		коса
Clothing:button.N		пуговица
Clothing:cloak.N		плащ
Clothing:cloth.N		ткань, сукно
Clothing:clothes.N		одежда
Clothing:coat.N		пальто + шуба
Clothing:collar.N		воротник
Clothing:dress.N		женское платье
Clothing:dye.V		красить (vb, not n)
Clothing:felt.N		фетр, войлок
Clothing:glove.N		перчатка
Clothing:grass-skirt.N		юбка из листьев
Clothing:headband or headdress.N		повязка на голову, головной убор
Clothing:headgear.N		шляпа
Clothing:leather.N		кожа
Clothing:linen.N		лен (льняная ткань)
Clothing:loom.N		ткацкий станок
Clothing:naked.A		голый, обнаженный
Clothing:needle.N		игла
Clothing:pin.N		булавка
Clothing:pocket.N		карман
Clothing:poncho.N		пончо
Clothing:put on.V		одевать
Clothing:rag.N		носовой платок
Clothing:sew.V		шить
Clothing:shirt.N		рубашка
Clothing:shoe.N		туфель,  ботинок
Clothing:shoemaker.N		сапожник
Clothing:silk.N		шелк
Clothing:skirt.N		юбка
Clothing:spin.V		прясть
Clothing:spindle.N		веретено
Clothing:stocking.N		чулок, носок
Clothing:tailor.N		портной
Clothing:thread.N		нитка
Clothing:towel.N		полотенце
Clothing:trousers.N		штаны, брюки
Clothing:veil.N		вуаль
Clothing:weave.V		плести, ткать
Cognition:study.V		учить, изучать
Combat:fight.V		драться, сражаться
Combat:helmet.N		шлем
Communication:answer.V		отвечать
Communication:boast.V		хвастаться
Communication:call.V		вызывать,  звать
Communication:deny.V		отрицать
Communication:forbid.V		запрещать
Communication:language.N		язык
Communication:refuse.V		отказывать
Communication:tell.V		рассказывать
Cosmos:Sun.N		солнце
Cosmos:moon.N		луна
Cosmos:star.N		звезда
Element:Ag.N		серебро
Element:Au.N		золото
Element:Cu.N		медь, бронза
Element:Fe.N		железо
Element:Pb.N		свинец
Emotion:feel.V		чувствовать
Family:ancestors.N		предки
Family:aunt.N		тетя
Family:brother.N		брат
Family:child.N		дети,потомство
Family:cousin.N		двоюродный (-ая) брат (сестра), кузен/кузина
Family:daughter.N		дочь
Family:descendant.N		потомки
Family:divorce.N		развод
Family:family.N		семья
Family:father.N		отец
Family:granddaughter.N		внучка
Family:grandfather.N		дедушка
Family:grandmother.N		бабушка
Family:grandson.N		внук
Family:husband.N		муж
Family:married man.N		женатый
Family:married woman.N		замужняя
Family:marry.V		жениться, выйти замуж
Family:mother.N		мать
Family:nephew.N		племянник
Family:niece.N		племянница
Family:older brother.N		старший брат
Family:older sister.N		старшая сестра
Family:orphan.N		сирота
Family:parents.N		родители
Family:relatives.N		родственники
Family:sibling.N		брат/сестра
Family:sister.N		сестра
Family:son.N		сын
Family:stepdaughter.N		падчерица
Family:stepfather.N		отчим
Family:stepmother.N		мачеха
Family:stepson.N		пасынок
Family:uncle.N		дядя
Family:wedding.N		свадьба
Family:widow.N		вдова
Family:widower.N		вдовец
Family:wife.N		жена
Family:younger brother.N		младший брат
Family:younger sister.N		младшая сестра
Food:Ficus carica.N		инжир
Food:Musa acuminata.N		банана
Food:bake.V		печь
Food:dinner.N		обед/ужин
Food:fermented alcohol.N		брага
Food:flour.N		мука
Food:sausage.N		колбаса, сосиска
Food:supper.N		(холодный) ужин
Form:bend.V		сгибать
Function:1PL EXCL.PRN		мы
Function:1PL INCL.PRN		мы
Function:1PL.PRN		мы
Function:1SG.PRN		я
Function:2PL.PRN		вы
Function:2SG.PRN		ты, вы
Function:3PL.PRN		они
Function:3SG.PRN		он/она/оно
Function:and.CNJ		и, а
Function:or.CNJ		или
Grooming:bracelet.N		браслет
Grooming:brush.N		щетка
Grooming:comb.N		гребень, расческа
Grooming:earring.N		сережка
Grooming:jewel.N		драгоценный камень, ювелирное изделие
Grooming:mirror.N		зеркало
Grooming:necklace.N		ожерелье, бусы
Grooming:ointment.N		мазь
Grooming:ornament.N		орнамент, украшение
Grooming:razor.N		бритва
Grooming:ring.N		кольцо
Grooming:soap.N		мыло
Grooming:tattoo.N		татуировка
Handiwork:adze.N		тесло
Handiwork:anvil.N		наковальня
Handiwork:axe.N		топор
Handiwork:blacksmith.N		кузнец
Handiwork:bore.V		сверлить
Handiwork:braid or weave.V		ткать
Handiwork:carpenter.N		плотник
Handiwork:carve.V		вырезать
Handiwork:cast.V		отливать в форму (металлы)
Handiwork:chisel.N		резец, долото
Handiwork:forge.V		ковать
Handiwork:hammer.N		молоток
Handiwork:nail.N		гвоздь
Handiwork:potter.N		гончар
Handiwork:saw.N		пила
Handiwork:shears.N		ножницы
Handiwork:tool.N		инструмент
Health:fever.N		жар, лихорадить
Health:healthy.A		здоровый, здоровье
Health:medicine.N		лекарство, средство
Health:physician.N		врач, (фельдшер)
Health:poison.N		яд
House:bed.N		кровать
House:blanket.N		одеяло
House:pillow.N		подушка
House:rug.N		ковер, плед
Hunting:hunt.V		охотиться
Language:book.N		книга
Mind:dream.V		видеть сон, мечтать
Motion:approach.V		приближаться
Motion:arrive.V		достигать, прибывать
Motion:bring.V		приносить, привозить
Motion:carry.V		нести
Motion:catch.V		ловить
Motion:climb.V		подниматься, взбираться
Motion:come back.V		возвращаться
Motion:come.V		приходить
Motion:crawl or creep.V		ползти
Motion:drop (something).V		уронить
Motion:enter.V		входить
Motion:fall.V		падать
Motion:fly.V		летать
Motion:follow.V		следовать
Motion:go.V		идти
Motion:leave.V		уходить
Motion:lift.V		поднимать
Motion:ride.V		ехать верхом
Motion:roll.V		катать, вращать
Motion:turn (sth).V		переворачивать(ся)
Motion:walking stick.N		посох
Music:brass instrument.N		труба
Music:drum.N		барабан
Music:sing.V		петь
Nature:flame.N		пламя
Nature:sea.N		море
Nature:shore.N		берег, побережье
People:baby.N		младенец, ребенок
People:boy.N		мальчик
People:child.N		ребенок
People:female.A		женский
People:girl.N		девочка
People:male.A		мужской
People:man.N		мужчина
People:old man.N		старик
People:old woman.N		старуха
People:twins.N		близнецы
People:woman.N		женщина
People:young man.N		юноша, молодой человек
People:young woman.N		девушка
Perception:touch.V		трогать
Plant:Betula.N		береза
Plant:branch or twig.N		ветвь,  ветка
Plant:leaf.N		лист
Plant:plant.N		растение
Plant:root.N		корень
Plant:sap.N		сок растений
Plant:seed.N		семя
Plant:tree stump.N		пень
Plant:tree trunk.N		ствол дерева
Plant:tree.N		дерево
Plant:vine.N		виноградная лоза, ползучее растение
Quantity:0.NUM		ноль, ничего
Quantity:10.NUM		десять
Quantity:100.NUM		сто
Quantity:1000.NUM		тысяча
Quantity:11.NUM		одиннадцать
Quantity:12.NUM		двенадцать
Quantity:15.NUM		пятнадцать
Quantity:2.NUM		два
Quantity:20.NUM		двадцать
Quantity:3.NUM		три
Quantity:4.NUM		четыре
Quantity:5.NUM		пять
Quantity:6.NUM		шесть
Quantity:7.NUM		семь
Quantity:8.NUM		восемь
Quantity:9.NUM		девять
Society:help.V		помочь
Sound:be silent.V		молчать
Sound:flute.N		флейта
Sound:howl.V		выть
Sound:rattle.N		погремушка
Sound:shout.V		кричать
Sound:shriek.V		визжать
Sound:stutter.V		заикаться, запинаться
Sound:ululate.V		реветь
Sound:voice.N		голос
Sound:whisper.V		шептать
Sound:whistle.V		свистеть
Storage:basket.N		корзина
Storage:misplace.V		терять
Storage:netbag.N		сетчатая сумка
Storage:pour.V		лить, наливать
Time:autumn.N		осень
Time:final.A		последний
Time:hour.N		час
Time:last.V		продолжаться, длиться
Time:late.ADV		поздно
Time:month.N		месяц
Time:never.ADV		никогда
Time:new.A		новый
Time:night.N		ночь
Time:now.ADV		сейчас
Time:often.ADV		часто
Time:old.A		старый, ветхий
Time:season.N		время года
Time:springtime.N		весна
Time:summer.N		лето
Time:time.N		время
Time:today.ADV		сегодня
Time:tomorrow.ADV		завтра
Time:winter.N		зима
Time:year.N		год
Time:yesterday.ADV		вчера
Transit:anchor.N		якорь
Transit:boat.N		лодка
Transit:canoe.N		каноэ, байдарка
Transit:cart.N		экипаж, телега
Transit:oar.N		весло
Transit:paddle.N		весло
Transit:road.N		дорога
Transit:row.V		грести
Transit:rudder.N		руль
Transit:sail.V		плыть под парусом
Transit:sailcloth.N		парус
Transit:ship.N		корабль, судно
Transit:wheel.N		колесо
