id	style	word	pronunciation	etymology
PWN:ask.v.05		tàmbáyàa		arb:istanba’a
PWN:attack.n.05		kái hárìi		
PWN:attribute.n.02		sifa	
PWN:aunt.n.01		ínnàa		knc:yìnná
PWN:avaricious.s.01		mài máƙòo		
PWN:awl.n.01		bàsílláa		:sūbula
PWN:awl.n.01		tásúbálà		:sūbula
PWN:ax.n.01		gàatáríi		
PWN:baby.n.01		jàríirìi		
PWN:back.n.01		báayáa		
PWN:bad.a.01		bâa kyâu		
PWN:bad.a.01		múugùu		
PWN:bait.n.02		ƙóotóo		
PWN:bake.v.02		gásàa		
PWN:bald.s.02		mài sánƙóo		
PWN:ball.n.01 		bola	
PWN:ball.n.03		ƙwállóo		
PWN:bamboo.n.01		góoràa		
PWN:banana.n.02		àyàbà		nup:yaba
PWN:bandage.n.01		bandeji	
PWN:bare.s.01		tsiráaràa		
PWN:bare.s.01		ɓútúk		
PWN:bark.n.01		ɓáawóo		
PWN:barley.n.02		shà'îr̃		arb:ša?ir
PWN:barter.v.01		fátáucìi		
PWN:barter.v.01		yí cìníkíi		
PWN:basket.n.01		kwàndóo		
PWN:bat.n.01		jéemáagèe		
PWN:bathe.v.01		yí wánkáa		
PWN:battery.n.02		baturi	
PWN:battery.n.02		báatìr̃		eng:battery
PWN:battle.n.01		yáaƙìi		
PWN:be.v.11		dà râi		
PWN:be_born.v.01		hàifáa		
PWN:bead.n.01		dúutsèn ádòo		
PWN:beak.n.02		bàakín tsúntsúu		
PWN:beam.n.02		jijjigèe		
PWN:bean.n.01		wáakée		
PWN:beard.n.01		géemùu		
PWN:beautiful.a.01		mài kyâu		
PWN:become.v.01		zámá		
PWN:bed.n.01		gádóo		
PWN:bee.n.01		zúmàa		
PWN:beehive.n.04		ámyàa		
PWN:beer.n.01		bùr̃kùtù		:Unidentifiable
PWN:beer.n.01		giya	
PWN:beer.n.01		gíyàa		arb:giʕa
PWN:beeswax.n.01		káakìn zúmàa		
PWN:beget.v.01		hàifáa		
PWN:beggar.n.01		máròoƙíi		
PWN:begin.v.03		fáaràa		
PWN:beginning.n.01		fárkóo		
PWN:believe.v.01		zàtáa		
